Fiscal Year,Career Level,Academic Career,Primary Program,total_fall_census_count,total_fiscal_year_count,total_fiscal_year_NTR,total_average_NTR_per_student,resident_fall_census_count,resident_fiscal_year_count,resident_fiscal_year_NTR,resident_average_NTR_per_student,non_resid_fall_census_count,non_resid_fiscal_year_count,non_resid_fiscal_year_NTR,non_resid_average_NTR_per_student,international_fall_count,international_fiscal_year_count,international_fiscal_year_NTR,international_avg_NTR_per_student,total_cost,E&G
2019,UGRD,UGRD,College of Agriculture & Life Sciences,2726,3083,33014258,10708,2029,2288,13691297,5984,625,701,16850608,24038,72,78,2189007,28064,37898936.69,37504406.76
2019,UGRD,UGRD,"College of Architecture, Plan & Lands",459,470,6368512,13550,285,286,1813694,6342,126,132,2997241,22706,48,52,1557577,29953,10655991.94,11003767.93
2019,UGRD,UGRD,College of Education,846,927,10682916,11524,592,637,3851711,6047,227,257,5907611,22987,27,31,857687,27667,27708987.66,29091242.43
2019,UGRD,UGRD,College of Engineering,2727,2756,26723741,9697,1923,1923,7611461,3958,470,460,8324687,18097,334,372,10770105,28952,42697984.76,43875981.95
2019,UGRD,UGRD,College of Fine Arts,1331,1396,14045492,10061,943,995,4939617,4964,336,348,7521503,21614,52,53,1584372,29894,33586144.42,34244003.76
2019,UGRD,UGRD,College of Humanities,297,435,3766649,8659,247,350,1801615,5147,43,73,1630480,22335,7,10,282776,28278,59503898.11,59319710.97
2019,UGRD,UGRD,College of Nursing,653,695,5020005,7223,480,519,1615464,3113,167,172,3297814,19173,6,4,106727,26682,26285843.45,27902436.92
2019,UGRD,UGRD,College of Pharmacy,114,154,1021683,6634,93,109,391702,3594,21,25,517181,20687,0,0,0,0,21434683.58,23736130.95
2019,UGRD,UGRD,College of Science,6540,6667,70522055,10578,4479,4618,21990887,4762,1402,1364,28798875,21114,659,685,19732293,28806,144369118.7,147354510.9
2019,UGRD,UGRD,College of Social & Behavior Science,5712,6433,85244984,13251,3523,3961,24596738,6210,1978,2212,54056602,24438,211,243,6528895,26868,130599502.4,132457883.1
2019,UGRD,UGRD,Eller College of Management,5782,5665,83453787,14731,2816,2777,15077581,5429,2364,2251,50649676,22501,602,637,17726530,27828,89009368.48,91663223.24
2019,UGRD,UGRD,Zuckerman College Public Health,858,912,8199315,8990,690,720,4010049,5570,160,183,3976573,21730,8,9,212693,23633,22208917.09,23563673.14
2019,GRAD,LAW,James E. Rogers College of Law,393,419,2203188,5258,184,189,-93470,-495,161,131,1282337,9789,48,99,1014321,10246,22171245.01,21943407.07
