course_code,college_code,department_code
AREC,AGSC,AREC
AED,AGSC,AED
ALC,AGSC,AED
CTE,AGSC,AED
AGTM,AGSC,AED
ACBS,AGSC,ACBS
MIC,AGSC,ACBS
CALS,AGSC,CALS
ENVS,AGSC,ENVS
EHS,AGSC,ENVS
EVS,AGSC,ENVS
FSHD,AGSC,FSHD
FCSC,AGSC,FCSC
PFFP,AGSC,FCSC
WFSC,AGSC,NRE
GIST,AGSC,NRE
WSM,AGSC,NRE
GENE,AGSC,NRE
RAM,AGSC,NRE
NSC,AGSC,NSC
NAFS,AGSC,NSC
PLS,AGSC,PLS
PLP,AGSC,PLS
RCSC,AGSC,RCSC
ENTO,AGSC,ENTO
RNR,AGSC,RNR
PLG,ARCH,LAP
RED,ARCH,LAP
SBE,ARCH,LAP
LAR,ARCH,LAP
ARC,ARCH,ARC
ECON,BUSN,ECON
OSCM,BUSN,OSCM
FIN,BUSN,FIN
MIS,BUSN,MIS
MGMT,BUSN,MGMT
MKTG,BUSN,MKTG
ACCT,BUSN,ACCT
BNAD,BUSN,BNAD
BCOM,BUSN,BCOM
ENTR,BUSN,ENTR
SERP,EDUC,DPS
EDP,EDUC,EDP
EDL,EDUC,EPSP
TLS,EDUC,TLS
TTE,EDUC,TTE
STCH,EDUC,STCH
AME,ENGR,AME
EM,ENGR,AME
BME,ENGR,BME
CHEE,ENGR,CHEE
CE,ENGR,CE
ARCE,ENGR,CE
BE,ENGR,BE
ECE,ENGR,ECE
MSE,ENGR,MSE
MNE,ENGR,MGE
GEN,ENGR,MGE
SIE,ENGR,SIE
ENGR,ENGR,ENGR
ARH,FNRT,ARH
FA,FNRT,FA
TAR,FNRT,TFT
FTV,FNRT,TFT
ART,FNRT,ART
ARE,FNRT,ART
DNC,FNRT,DNC
MUSI,FNRT,MUS
MUS,FNRT,MUS
AFAS,HMNT,AFAS
HUMS,HMNT,HUMS
EAS,HMNT,EAS
JPN,HMNT,EAS
CHN,HMNT,EAS
KOR,HMNT,EAS
ITAL,HMNT,FI
FREN,HMNT,FI
GER,HMNT,GER
PAH,HMNT,PAH
RELI,HMNT,RSC
CLAS,HMNT,RSC
GRK,HMNT,RSC
LAT,HMNT,RSC
RSSS,HMNT,RSSS
PORT,HMNT,SP
SPAN,HMNT,SP
CRL,HMNT,CRL
CMM,MDTC,CMM
MED,MDTC,MED
MEDI,MDTC,MED
GERO,MDTC,MED
EMD,MDTC,EMD
FCM,MDTC,FCM
IMB,MDTC,IMB
PHCL,MDTC,PHCL
PSIO,MDTC,PSIO
ANES,MDTC,ANES
PATH,MDTC,PATH
SURG,MDTC,SURG
PSYI,MDTC,PSYI
PHP,MDTC,PHP
NURS,NURS,NURS
PHPM,PBLH,CEP
EPID,PBLH,EB
BIOS,PBLH,EB
HPS,PBLH,HPS
PHPR,PHRM,PHPR
PCOL,PHRM,PCOL
JUS,SBSC,JUS
AIS,SBSC,AIS
SBS,SBSC,SBS
COMM,SBSC,COMM
PR,SBSC,COMM
ENGL,SBSC,ENGL
GWS,SBSC,GWS
HIST,SBSC,HIST
JOUR,SBSC,JOUR
LAS,SBSC,LAS
LING,SBSC,LING
MAS,SBSC,MAS
PHIL,SBSC,PHIL
PPEL,SBSC,PPEL
POL,SBSC,POL
GEOG,SBSC,GEOG
MENA,SBSC,MENA
PRS,SBSC,MENA
TURK,SBSC,MENA
ARB,SBSC,MENA
LIS,SBSC,IRLS
IRLS,SBSC,IRLS
ANTH,SBSC,ANTH
SGPP,SBSC,SGPP
PA,SBSC,SGPP
INFO,SBSC,INFO
ESOC,SBSC,INFO
ISTA,SBSC,INFO
SOC,SBSC,SOC
CHS,SBSC,SOC
FOOD,SBSC,FOOD
GLS,SBSC,GLS
ASTR,SCNC,ASTR
CHEM,SCNC,CHEM
BIOC,SCNC,BIOC
CSC,SCNC,CSC
ECOL,SCNC,ECOL
GEOS,SCNC,GEOS
ATMO,SCNC,ATMO
HWRS,SCNC,HWRS
MATH,SCNC,MATH
DATA,SCNC,MATH
MCB,SCNC,MCB
PHYS,SCNC,PHYS
PTYS,SCNC,PTYS
PSYS,SCNC,PSY
PSY,SCNC,PSY
SLHS,SCNC,SLHS
NSCS,SCNC,NSCS
NROS,SCNC,NSCS
SCI,SCNC,SCI
LASC,LASC,LASC
LAW,LAW,LAW
OPTI,OPTI,OPTI
NS,NROTC,NROTC
GRAD,GRAD,GRAD
HNRS,HNRS,HNRS
BGS,UA,UA
SAS,UA,UA
IA,UA,UA
MLA,UA,ARMY
MLS,UA,ARMY
REM,UA,GIDP
ARL,UA,GIDP
GC,UA,GIDP
COOP,UA,COOP
HED,UA,HED
HSD,UAHS,SI
