Curriculum,Agricultural Technology Management and Education Teaching Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,01-0106,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,College Algebra,MATH,112,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Principles and Practices of Agricultural Mechanization,AGTM,100,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,General Chemistry,CHEM,151,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Solar Photovoltaic Energy Systems with Applications to Agriculture,AGTM,200,,,,3,,,2
11,Second Language,,,,,,4,,,3
12,Tier II General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Introductory Biology I Lecture and Laboratory,MCB,181R,,,,4,,,3
15,Applications in Agricultural Mechanics,AGTM,350,,,,3,,,3
16,Second Language,,,,,,4,,,4
17,Tier II General Education,,,,,,3,,,4
18,Introductory Biology II Lecture and Laboratory,ECOL,182R,,,,4,,,4
19,Turf and Landscape Technology or AGTM 351 Agricultural Power and Machinery,AGTM,330,,,,3,,,4
20,Introduction to Financial Accounting,ACCT,200,,,,3,,,4
21,Introduction to Soil Sciece,ENVS,200,,,,3,,,5
22,Soils Laboratory,ENVS,201,,,,1,,,5
23,Youth Leadership Development,AED,301,,,,3,,,5
24,Introduction to Hydroponics & Controlled Environment Agriculture,PLS,217,,,,3,,,5
25,Introduction to Animal Science,ACBS,102R,,,,3,,,5
26,Insect Discovery,ENTO,407,,,,3,,,6
27,Animal Sciece Course,,,,,,3,,,6
28,Basic Economic Issues,ECON,200,,,,3,,,6
29,Genetics,PLS,312,,,,4,,,6
30,Internship Pre-Student Teaching,AED,493A,,,,2,,,6
31,The Teaching of Secondary School Agriculture,AED,438,,,,4,,,7
32,Instructional Materials Development,AED,460,,,,4,,,7
33,Communicating Knowledge in Agriculture and the Life Sciences,AGTM,422,,,,3,,,7
34,Methods of Teaching English to English Language Learners,LCEV,408,,,,3,,,7
35,Senior Capstone Pre-Student Teaching,AED,498A,,,,2,,,7
36,Principles of Career and Technical Education,AED,405A,,,,3,,,8
37,Senior Capstone Student Teaching,AED,498B,,,,5,,,8
38,Internship Student Teaching,AED,493B,,,,4,,,8
39,Structured English Immersion Teaching Methodology,AED,497F,,,,3,,,8
40,U.S. and Arizona Constitution,POL,210,,,,3,,,8
