Curriculum,Environmental Science Soil Air and Water Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,English Composition I,ENGL,101,,,,3,,,1
2,MATH Calculus,MATH,,,,,3,,,1
3,Fundamentals of Environmental Science,ENVS,210,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Introductory Biology I,MCB,181R,,,,3,,,1
6,English Composition II,ENGL,102,,,,3,,,2
7,Critical Zone Science,ENVS,270,,,,3,,,2
8,General Chemistry I,,,,,,4,,,2
9,Tier I General Education,,,,,,3,,,2
10,Introduction to Soil Science,ENVS,200,,,,3,,,3
11,Introdcution to Soil Science laboratory,ENVS,201,,,,1,,,3
12,General Chemtry II,,,,,,4,,,3
13,Careers in Environmental Science,ENVS,195A,,,,1,,,3
14,Tier I General Education,,,,,,3,,,3
15,Physics I,,,,,,4,,,4
16,Microbiology,MIC,205A,,,,3,,,4
17,Tier I General Education,,,,,,3,,,4
18,"Soil, Air, and Water Emphasis Core Course",,,,,,3,,,4
19,"Internship, Teaching Workshop, or Independent Study",,,,,,1,,,4
20,Introductory Biology II,ECOL,182R,,,,3,,,5
21,Quantitative Skills in Natural Sciences,ENVS,275,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,Scientific Writing,,,,,,3,,,5
24,Soils,,,,,,3,,,5
25,Pollution Science,ENVS,305,,,,3,,,6
26,Statistics,,,,,,3,,,6
27,"Soil, Air, and Water Emphasis Core Course",,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,"Soil, Air, and Water Emphasis Elective",,,,,,3,,,6
30,"Soil, Air, and Water Emphasis Elective",,,,,,3,,,6
31,Environmental Chemistry,,,,,,3,,,7
32,Environmental Physics,ENVS,420,,,,3,,,7
33,Ecology,,,,,,3,,,7
34,Tier II General Education,,,,,,3,,,7
35,Environmental Assessment,ENVS,480,,,,3,,,7
36,Second Language,,,,,,4,,,7
37,Environmental Monitoring/Remediation,ENVS,430R,,,,3,,,8
38,Env. Monitoring/Remediation Laboratory,ENVS,430L,,,,1,,,8
39,Second Language,,,,,,4,,,8
40,"Soil, Air, and Water Emphasis Core Course",,,,,,3,,,8
41,"Soil, Air, and Water Emphasis Elective",,,,,,2,,,8
42,General Elective,,,,,,1,,,8
