Curriculum,Environmental Science The Biosphere Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,03-0199,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,English Composition I,ENGL,101,,,,3,,,1
2,MATH Calculus,MATH,122A,,,,3,,,1
3,Fundamentals of Environmental Science,ENVS,210,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Introductory Biology I,MCB,181R,,,,3,,,1
6,English Composition II,ENGL,102,,,,3,,,2
7,Critical Zone Science,ENVS,270,,,,3,,,2
8,General Chemistry I,CHEM,151,,,,4,,,2
9,Tier I General Education,,,,,,3,,,2
10,Introduction to Soil Science,ENVS,200,,,,3,,,3
11,Introdcution to Soil Science laboratory,ENVS,201,,,,1,,,3
12,General Chemtry II,CHEM,152,,,,4,,,3
13,Careers in Environmental Science,ENVS,195A,,,,1,,,3
14,Tier I General Education,,,,,,3,,,3
15,Organic Chemistry,CHEM,241A,,,,4,,,4
16,Microbiology,MIC,205A,,,,3,,,4
17,Tier I General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,"Internship, Teaching Workshop, or Independent Study",,,,,,1,,,4
20,Biosphere Emphasis Core,,,,,,3,,,4
21,Introductory Biology II,ECOL,182R,,,,3,,,5
22,Physics,,,,,,4,,,5
23,Quantitative Skills in Natural Sciences,ENVS,275,,,,3,,,5
24,Scientific Writing,,,,,,3,,,5
25,Ecology,RNR,316,,,,3,,,5
26,Pollution Science,ENVS,305,,,,3,,,6
27,Biosphere Emphasis Core,,,,,,3,,,6
28,Biosphere Emphasis Core,,,,,,4,,,6
29,Tier II General Education,,,,,,3,,,6
30,Tier II General Education,,,,,,3,,,6
31,Environmental Chemistry,,,,,,3,,,7
32,Environmental Physics,ENVS,420,,,,3,,,7
33,Ecology,,,,,,3,,,7
34,Environmental Assessment,ENVS,480,,,,3,,,7
35,Second Language,,,,,,4,,,7
36,Environmental Monitoring/Remediation,ENVS,430R,,,,3,,,8
37,Env. Monitoring/Remediation Laboratory,ENVS,430L,,,,1,,,8
38,Second Language,,,,,,4,,,8
39,Biosphere Emphasis Elective,,,,,,3,,,8
40,Biosphere Emphasis Elective,,,,,,3,,,8
41,General Elective,,,,,,1,,,8
