Curriculum,Environmental and Water Resource Economics
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,GE Moderate Math Strand,,,,,,3,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,First Semester Second Language,,,,,,4,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,Additional Math I,,,,,,3,,,2
7,First-Year Composition,ENGL,102,,,,3,,,2
8,Second Semester Second Language,,,,,,4,,,2
9,"Basic Economic Issues, Introductory Economics",ECON,200,,,,3,,,2
10,"BE120 or MIS111, Computer Skills II",BE,120,,,,3,,,2
11,Tier II General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Additional Math II,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Communication Skills,,,,,,3,,,4
20,Elective,,,,,,3,,,4
21,"Production & Consumption Analysis, Microeconomics",AREC,304,,,,3,,,5
22,"Economic Statistics, Core I Statistics",AREC,339,,,,3,,,5
23,Focus Area Course,,,,,,3,,,5
24,Focus Area Course Upper Division,,,,,,3,,,5
25,Focus Area Course Upper Division,,,,,,3,,,5
26,Preparing for Career & Life Success,AREC,397,,,,1,,,5
27,Communication Skills,,,,,,3,,,6
28,"The Poverty & Development of Nations, Core III",AREC,360,,,,3,,,6
29,"Macroeconomic Analysis & Policy, Macroeconomics",ECON,331,,,,3,,,6
30,"Excel Applications for Economic Analysis, Computer Skills I",AREC,297,,,,1,,,6
31,Focus Area Course Upper Division,,,,,,3,,,6
32,Focus Area Course Upper Division,,,,,,3,,,6
33,"Economics of Policy Analysis, Core III",AREC,464,,,,3,,,7
34,Core II Environmental Economics,,,,,,3,,,7
35,Focus Area Course Upper Division,,,,,,3,,,7
36,Focus Area Course Upper Division,,,,,,3,,,7
37,Elective,,,,,,3,,,7
38,"Economics of Data Analysis, Core III",AREC,403,,,,3,,,8
39,"Economic Analysis of Water, Food and Environmental Policies, Core III",AREC,479,,,,3,,,8
40,Elective Upper Division,,,,,,3,,,8
41,Elective,,,,,,3,,,8
