Curriculum,Family Studies and Human Development,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,19-0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Math - College Algebra,MATH,112,,,,3,,,1
3,Introduction to Family Studies and Human Development,FSHD,197A,,,,1,,,1
4,Lifespan Human Development,FSHD,117,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Dynamics of Family Relations,FSHD,257,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Statistics,,,,,,3,,,3
12,Close Relationships,FSHD,237,,,,3,,,3
13,Social Science and Human Behavior,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Research Methods,,,,,,3,,,4
17,Social Science and Human Behavior,,,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Tier I General Education,,,,,,3,,,4
20,Tier II General Education,,,,,,3,,,4
21,Infancy/Child Development,FSHD,323,,,,3,,,5
22,Adolescence,FSHD,377,,,,3,,,5
23,"Leadership, Ethics, and Professional Practices",FSHD,384,,,,3,,,5
24,Advanced Composition,,,,,,3,,,5
25,Biological Processes and Development,,,,,,3,,,5
26,Issues in Aging,FSHD,413,,,,3,,,6
27,Problems in Adult Development & Relations or Problems in Child/Adolescent Developm,FSHD,427A,,,,3,,,6
28,FSHD Complementary Advanced Topic,FSHD,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,Tier II General Education,,,,,,3,,,6
31,Sociocultural Context of Development or FSHD 447C Biosocial Development,FSHD,447A,,,,3,,,7
32,FSHD Applied Skills,FSHD,,,,,3,,,7
33,Biological Processes and Development,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,Minor,,,,,,3,,,7
37,Advanced Family Relations,FSHD,487,,,,3,,,8
38,FSHD Upper Division Elective,FSHD,,,,,3,,,8
39,Minor,,,,,,3,,,8
40,Minor,,,,,,3,,,8
41,Minor,,,,,,3,,,8
