Curriculum,Natural Resources Ecology Management and Restoration of Rangelands Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,03-0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,GENERAL Chemistry I,CHEM,151,,,,4,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Conservation of Natural Environments,RNR,200,,,,3,,,1
5,Calculus I,MATH,112,,,,3,,,1
6,GENERAL Chemistry II,CHEM,152,,,,4,,,2
7,First Year Composition,ENGL,102,,,,3,,,2
8,General Biology II,ECOL,182R,,,,3,,,2
9,General Biology II,ECOL,182L,,,,1,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Oral or Media Communication,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Statistics,,,,,,3,,,3
15,Field Botany,RNR,230R,,,,3,,,3
16,General Biology I Lab,MCB,181L,,,,1,,,3
17,General Biology I Lecture,MCB,181R,,,,3,,,3
18,Soil Science Lecture and Lab,ENVS,200,,,,4,,,4
19,Tier II General Education,,,,,,3,,,4
20,Basic Economic Issues,ECON,200,,,,3,,,4
21,Natural Resources Management Practices,RNR,384,,,,3,,,4
22,Second Language,,,,,,4,,,4
23,Tier II General Education,,,,,,3,,,5
24,Natural Resources Ecology,RNR,316,,,,3,,,5
25,Technical Electives,,,,,,6,,,5
26,Technical Skills Elective,,,,,,3,,,5
27,Second Language,,,,,,4,,,5
28,Ecological Surveys and Sampling,RNR,321,,,,3,,,6
29,Rangeland Plant Communities,RAM,382,,,,3,,,6
30,Technical Writing Elective,,,,,,3,,,6
31,Technical Electives,,,,,,6,,,6
32,Rangeland Inventory and Monitoring,RAM,456A,,,,4,,,7
33,SNRE requirement,,,,,,1,,,7
34,Technical Electives,,,,,,8,,,7
35,Grazing Ecology and Management,RAM,436A,,,,2,,,7
36,Management and Restoration of Wildland Vegetation,RAM,446,,,,4,,,8
37,Rangeland Management Planning,RAM,487,,,,2,,,8
38,Technical Electives,,,,,,6,,,8
39,Natural Resources Policy and Law,RNR,480,,,,3,,,8
