Curriculum,Natural Resources Global Change Ecology and Management Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,or CHEM 141 and 143: General Chemistry I,CHEM,151,,,,4,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,Global Sustainability and Natural Resources,RNR,101,,,,3,,,1
4,"122B, or 125",MATH,113,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,or CHEM 142 and 144: General Chemistry II,CHEM,152,,,,4,,,2
7,First Year Composition,ENGL,102,,,,3,,,2
8,General Biology II,ECOL,182R,,,,3,,,2
9,General Biology II,ECOL,182L,,,,1,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Basic Economic Issues,ECON,200,,,,3,,,3
13,Conservation of Natural Environments,RNR,200,,,,3,,,3
14,Statistics,,,,,,3,,,3
15,Intro to Physics I,PHYS,102,,,,3,,,3
16,General Biology I Lab,MCB,181L,,,,1,,,3
17,General Biology I Lecture,MCB,181R,,,,3,,,3
18,Tier II General Education,,,,,,3,,,4
19,Tier I General Education,,,,,,3,,,4
20,Tier II General Education,,,,,,3,,,4
21,Technical Elective,,,,,,3,,,4
22,Natural Resources Management Practices,RNR,384,,,,3,,,4
23,Natural Resources Ecology,RNR,316,,,,3,,,5
24,and L Field Botany,RNR,230R,,,,3,,,5
25,"Policy, Law, and Economics Elective",,,,,,3,,,5
26,Technical Writing Elective,,,,,,3,,,5
27,Earth Systems and Global Change Elective,,,,,,3,,,5
28,Second Language,,,,,,4,,,5
29,Ecological Surveys and Sampling,RNR,321,,,,3,,,6
30,Human Systems Elective,,,,,,3,,,6
31,Management Elective,,,,,,3,,,6
32,Technical Skills Elective,,,,,,3,,,6
33,Oral or Media Communication Elective,,,,,,3,,,6
34,Second Language,,,,,,4,,,6
35,Climate Change Adaptation,RNR,440,,,,3,,,7
36,SNRE requirement,,,,,,1,,,7
37,Technical Electives,,,,,,4,,,7
38,Environment Elective,,,,,,3,,,7
39,Global Change Ecology,GEOS,478,,,,3,,,7
40,Climate Assessment,RNR,496G,,,,3,,,8
41,Biological Systems Elective,,,,,,3,,,8
42,The Climate System,GEOG,430,,,,3,,,8
43,Natural Resources Policy and Law,RNR,480,,,,3,,,8
44,Technical Electives,,,,,,3,,,8
