Curriculum,Natural Resources Watershed Hydrology and Management Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,03-0205,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,Conservation of Natural Environments,RNR,200,,,,3,,,1
4,Calculus 1,MATH,122A,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,General Chemistry I,CHEM,152,,,,4,,,2
7,First Year Composition,ENGL,102,,,,3,,,2
8,Calculus 2,MATH,129,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Basic Economic Issues,ECON,200,,,,3,,,3
12,Physical Geography,GEOS,251,,,,4,,,3
13,Statistics,,,,,,3,,,3
14,Intro to Physics I,PHYS,102,,,,3,,,3
15,General Biology I Lab,MCB,181L,,,,1,,,3
16,General Biology I Lecture,MCB,181R,,,,3,,,3
17,Introductory Physics II ,PHYS,103,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Introduction to Soil Science,ENVS,200,,,,4,,,4
20,General Biology II Lecture and Lab,ECOL,182R,,,,4,,,4
21,Natural Resources Management Practices,RNR,384,,,,3,,,4
22,Natural Resources Ecology,RNR,316,,,,3,,,5
23,Field Botany,RNR,230R,,,,3,,,5
24,Watershed Hydrology,WSM,460A,,,,4,,,5
25,Riparian Science Elective,,,,,,3,,,5
26,Tier II General Education,,,,,,3,,,5
27,Ecological Surveys and Sampling,RNR,321,,,,3,,,6
28,Technical Writing Elective,,,,,,3,,,6
29,Watershed Management,WSM,462,,,,4,,,6
30,Technical Skills Elective,,,,,,3,,,6
31,Tier II General Education,,,,,,3,,,6
32,Dryland Ecohydrology and Vegetation Dynamics,WSM,452,,,,4,,,7
33,SNRE requirement,,,,,,1,,,7
34,Introduction to Wildland Fire,RNR,355,,,,3,,,7
35,Technical Electives,,,,,,5,,,7
36,Second Language,,,,,,4,,,7
37,Resources Economics Elective,,,,,,3,,,8
38,Wildland Water Quality,WSM,468,,,,3,,,8
39,Oral or Media Communication Elective,,,,,,3,,,8
40,Natural Resources Policy and Law,RNR,480,,,,3,,,8
41,Second Language,,,,,,4,,,8
