Curriculum,Natural Resources Wildlife Conservation and Management Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,03-0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Conservation of Natural Environments,RNR,200,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,General Chemistry II,CHEM,152,,,,4,,,2
7,First Year Composition,ENGL,102,,,,3,,,2
8,General Biology II,ECOL,182R,,,,3,,,2
9,General Biology II,ECOL,182L,,,,1,,,2
10,Tier I General Education,,,,,,3,,,2
11,Calculus,MATH,122A,,,,3,,,2
12,Basic Economic Issues,ECON,200,,,,3,,,3
13,Natural Resources Ecology,RNR,316,,,,3,,,3
14,Statistics,,,,,,3,,,3
15,Field Botany,RNR,230R,,,,3,,,3
16,General Biology I Lab,MCB,181L,,,,1,,,3
17,General Biology I Lecture,MCB,181R,,,,3,,,3
18,Physical Science,,,,,,4,,,4
19,Tier I General Education,,,,,,3,,,4
20,Tier II General Education,,,,,,3,,,4
21,Technical Elective,,,,,,3,,,4
22,Natural Resources Management Practices,RNR,384,,,,3,,,4
23,Tier II General Education,,,,,,3,,,5
24,Technical Writing,,,,,,3,,,5
25,Organismal Biology Elective,,,,,,4,,,5
26,Technical Skills Elective,,,,,,3,,,5
27,Second Language,,,,,,4,,,5
28,Ecological Surveys and Sampling,RNR,321,,,,3,,,6
29,Rangeland Plant Communities,RAM,382,,,,3,,,6
30,Organismal Biology Elective,,,,,,4,,,6
31,Oral or Media Communication,,,,,,3,,,6
32,Second Language,,,,,,4,,,6
33,Wildlife Management,WFSC,444,,,,4,,,7
34,SNRE requirement,,,,,,1,,,7
35,Technical Electives,,,,,,13,,,7
36,Population Ecology,WFSC,445,,,,3,,,8
37,Genetics,PLS,312,,,,4,,,8
38,Technical Electives,,,,,,3,,,8
39,Natural Resources Policy and Law,RNR,480,,,,3,,,8
