Curriculum,Nutritional Sciences Dietetics Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Math,,,,,,3,,,1
3,Introduction to Human Nutrition,NSC,101,,,,3,,,1
4,Survey of Nutrition Careers,NSC,396A,,,,1,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Semester Second Language,,,,,,4,,,1
7,First Year Composition,ENGL,102,,,,3,,,2
8,Foundational Skills in Nutritional Sciences,NSC,225,,,,2,,,2
9,Statistics,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Second Semester Second Language,,,,,,4,,,2
13,General Chemistry I,CHEM,151,,,,4,,,3
14,Nutrition Communication and Scientific Literacy,NSC,260,,,,3,,,3
15,Human Anatomy and Physiology I,PSIO,201,,,,4,,,3
16,Nutrition and the Life Cycle,NSC,301,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,General Chemistry II,CHEM,152,,,,4,,,4
19,Human Anatomy and Physiology II,PSIO,202,,,,4,,,4
20,Experiential Learning,NSC,395A,,,,2,,,4
21,Tier II General Education,,,,,,3,,,4
22,Tier II General Education,,,,,,3,,,4
23,Lectures in Organic Chemistry,CHEM,241A,,,,3,,,5
24,Fundamentals of Food Science,NSC,351R,,,,3,,,5
25,Fundamentals of Food Science Laboratory,NSC,351L,,,,1,,,5
26,Nutrition and Metabolism,NSC,308,,,,3,,,5
27,Introductory Biology I,MCB,181R,,,,3,,,5
28,Introductory Biology I Lab,MCB,181L,,,,1,,,5
29,Tier II General Education,,,,,,3,,,5
30,Lectures in Organic Chemistry,CHEM,241B,,,,3,,,6
31,Institutional Food Management,NSC,358R,,,,2,,,6
32,Institutional Food Management Laboratory,NSC,358L,,,,1,,,6
33,Foundations of Medical Nutrition Therapy,NSC,325,,,,4,,,6
34,Foundations of Medical Nutrition Therapy Lab,NSC,325L,,,,1,,,6
35,Microbiology,,,,,,4,,,6
36,Metabolic Biochemistry,BIOC,385,,,,3,,,7
37,Medical Nutrition Therapy I,NSC,425,,,,4,,,7
38,Food Service Organization and Management,NSC,458,,,,3,,,7
39,Dietetic Internship Preparation,NSC,495A,,,,1,,,7
40,Nutritional Biology,NSC,408,,,,3,,,7
41,Foundations in Biochemistry,BIOC,384,,,,3,,,8
42,Medical Nutrition Therapy II,NSC,435,,,,4,,,8
43,Community Nutrition,NSC,444,,,,3,,,8
44,Nutrition Education and Counseling,NSC,420,,,,2,,,8
45,Major Elective,,,,,,3,,,8
