Curriculum,Nutritional Sciences Nutrition Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Introduction to Human Nutrition,NSC,101,,,,3,,,1
4,Survey of Nutrition Careers,NSC,396A,,,,1,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Semester Second Language,,,,,,4,,,1
7,First-Year Composition,ENGL,102,,,,3,,,2
8,Foundational Skills in Nutritional Sciences,NSC,225,,,,2,,,2
9,Statistics,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Second Semester Second Language,,,,,,4,,,2
12,General Chemistry I,CHEM,151,,,,4,,,3
13,Nutrition and the Life Cycle,NSC,301,,,,3,,,3
14,Nutrition Communication and Scientific Literacy,NSC,260,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Tier I General Education,,,,,,3,,,3
17,General Chemistry II,CHEM,152,,,,4,,,4
18,Human Anatomy and Physiology II,PSIO,202,,,,4,,,4
19,Experiential Learning,NSC,395A,,,,2,,,4
20,Flexible Nutrition Emphasis Elective,,,,,,3,,,4
21,Tier II General Education,,,,,,3,,,4
22,Lectures in Organic Chemistry,CHEM,241A,,,,3,,,5
23,Fundamentals of Food Science,NSC,351R,,,,3,,,5
24,Introductory Biology I,MCB,181R,,,,3,,,5
25,Introductory Biology I Lab,MCB,181L,,,,1,,,5
26,Flexible Nutrition Emphasis Elective,,,,,,3,,,5
27,Flexible Nutrition Emphasis Elective,,,,,,3,,,5
28,Lectures in Organic Chemistry,CHEM,241B,,,,3,,,6
29,Nutrition and Metabolism,NSC,308,,,,3,,,6
30,Microbiology,,,,,,4,,,6
31,Flexible Nutrition Emphasis Elective,,,,,,3,,,6
32,Tier II General Education,,,,,,3,,,6
33,Metabolic Biochemistry,BIOC,385,,,,3,,,7
34,Nutritional Biology,NSC,408,,,,3,,,7
35,Flexible Nutrition Emphasis Elective,,,,,,3,,,7
36,Flexible Nutrition Emphasis Elective,,,,,,3,,,7
37,Flexible Nutrition Emphasis Elective,,,,,,3,,,7
38,Tier II General Education,,,,,,3,,,7
39,Foundations in Biochemistry,BIOC,384,,,,3,,,8
40,Applied Nutrition and Disease,NSC,410,,,,3,,,8
41,Flexible Nutrition Emphasis Elective,,,,,,3,,,8
42,Flexible Nutrition Emphasis Elective,,,,,,3,,,8
43,Flexible Nutrition Emphasis Elective,,,,,,3,,,8
