Curriculum,Retailing and Consumer Science
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,College Algebra,MATH,112,,,,3,,,1
3,ABE 120 Microcomputing Applications,BE,A,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Business Calculus,MATH,116,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Survey of Accounting,ACCT,250,,,,3,,,3
12,Basic Economic Issues,ECON,200,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Introduction to Retailing,RCSC,214,,,,3,,,4
17,Introduction to Statistics,FCSC,201,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Second Language,,,,,,4,,,4
21,Retail Business Analysis,RCSC,216,,,,3,,,5
22,MS Excel and Retail Bus. Analysis,RCSC,216A,,,,1,,,5
23,Career Exploration,RCSC,295A,,,,1,,,5
24,Introduction to Research Methods,FCSC,202,,,,3,,,5
25,Applying Critical Thinking,FCSC,301,,,,3,,,5
26,Minor course or General Elective,,,,,,3,,,5
27,Retail Mathematics,RCSC,304,,,,3,,,6
28,Consumer Behavior in Retailing,RCSC,340,,,,3,,,6
29,"Leadership, Ethics, and Management Practices",RCSC,384,,,,3,,,6
30,RCSC Elective,CSC,R,,,,3,,,6
31,Minor course or General Elective,,,,,,3,,,6
32,Retail Promotion and Visual Merchandising,RCSC,315,,,,3,,,7
33,Retailing and Marketing Strategy,RCSC,400,,,,3,,,7
34,RCSC Elective,CSC,R,,,,3,,,7
35,RCSC Elective,CSC,R,,,,3,,,7
36,Minor course or General Elective,,,,,,3,,,7
37,RCSC Elective,CSC,R,,,,3,,,8
38,RCSC Elective,CSC,R,,,,3,,,8
39,RCSC Elective,CSC,R,,,,3,,,8
40,RCSC Elective,CSC,R,,,,3,,,8
41,Minor course or General Elective,,,,,,2,,,8
