Curriculum,Sustainable Plant Systems Agronomy Option
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2, MATH Calculus I,MATH,,,,,5,,,1
3,Chemistry,CHEM,151General,,,,4,,,1
4,Tier I General Education,,,,,,3,,,1
5,or ENVS 195B,PLS,195A,,,,1,,,1
6,Second Language,,,,,,4,,,2
7,General Chemistry II,CHEM,152,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,General Soils and Lab,ENVS,200/201,,,,4,,,2
10,First Year Composition,ENGL,102,,,,3,,,2
11,Organic Chemistry,CHEM,241A,,,,3,,,3
12,Plant Biology,PLS,240,,,,4,,,3
13,Plant Pathology,PLP,305,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Intro Statistics/Biostatistics,MATH,263,,,,3,,,4
17,Plant and Soil Nutrition,ENVS,316,,,,3,,,4
18,Animal and Plant Genetics,PLS,312,,,,4,,,4
19,Tier I General Education,,,,,,3,,,4
20,Subplan Course,,,,,,3,,,4
21,Salt Affected Soil Management,ENVS,401,,,,3,,,5
22,Plant Propagation and Production,PLS,330,,,,4,,,5
23,Tier II General Education,,,,,,3,,,5
24,Economics,ECON,200,,,,3,,,5
25,Subplan Course,,,,,,3,,,5
26,Applied Plant Physiology,PLS,475A,,,,3,,,6
27,Subplan Course,,,,,,3,,,6
28,Subplan Course,,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,Senior Capstone,PLS,498,,,,2,,,7
31,Introductory Physics,PHYS,102,,,,3,,,7
32,Soil Morphology and Classification,ENVS,431,,,,3,,,7
33,Subplan Course,,,,,,3,,,7
34,Subplan Course,,,,,,3,,,7
35,Soil Physics,ENVS,470,,,,3,,,8
36, Upper Division Communication Course,,,,,,3,,,8
37,Insect Pest Management,ENTO,468,,,,3,,,8
38,Tier II General Education,,,,,,3,,,8
