Curriculum,Architecture
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Studio 1,ARC,101,,,,6,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,College Algebra Concepts and Applications,MATH,112,,,,3,,,1
4,Plane Trigonometry,MATH,111,,,,2,,,1
5,Tier I General Education,,,,,,3,,,1
6,Foundation Studio 2,ARC,102,,,,6,,,2
7,Introductory Laboratory I,PHYS,181,,,,1,,,2
8,Introductory Physics I,PHYS,102,,,,3,,,2
9,First Year Composition,ENGL,102,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Design Studio 1 Composition,ARC,201,,,,6,,,3
12,Building Technology 1,ARC,221,,,,3,,,3
13,Design Communications 1,ARC,241,,,,3,,,3
14,,ARC,297M,,,,3,,,3
15,Site Planning,ARC,326,,,,2,,,3
16,Design Studio 2 Performance,ARC,202,,,,6,,,4
17,Building Technology 2,ARC,222,,,,3,,,4
18,Building Technology 3,ARC,223,,,,3,,,4
19,Architectural Programming,ARC,227,,,,3,,,4
20,History 1,ARC,231,,,,3,,,4
21,Design Studio 3 Land Ethics,ARC,301,,,,6,,,5
22,Building Technology 4,ARC,321,,,,3,,,5
23,Design Communications 2,ARC,341,,,,3,,,5
24,History 2,ARC,232,,,,3,,,5
25,Tier I General Education,,,,,,3,,,5
26,Design Studio 4 Tectonics,ARC,302,,,,6,,,6
27,Building Technology 5,ARC,322,,,,3,,,6
28,History 3,ARC,332,,,,3,,,6
29,,ARC,397M,,,,3,,,6
30,Tier I General Education,,,,,,3,,,6
31,Design Studio 5 Techniques,ARC,401,,,,6,,,7
32,Building Technology 6,ARC,421,,,,3,,,7
33,Construction Documents,ARC,441,,,,3,,,7
34,History and Theory 4,ARC,471S,,,,3,,,7
35,Tier I General Education,,,,,,3,,,7
36,Design Studio 6 Culture,ARC,402,,,,6,,,8
37,Building Technology 7,ARC,422,,,,3,,,8
38,Ethics and Practice,ARC,459,,,,2,,,8
39,Upper Division Elective 1,,,,,,3,,,8
40,Tier II General Education,,,,,,3,,,8
41,Design Studio 7 Research,ARC,451,,,,6,,,9
42,Capstone,ARC,498,,,,3,,,9
43,Upper Division Elective 2,,,,,,3,,,9
44,Upper Division Elective 3,,,,,,3,,,9
45,Tier II General Education,,,,,,3,,,9
46,,ARC,452,,,,6,,,1
47,Upper Division Elective 4,,,,,,3,,,1
48,Upper or Lower Division Elective,,,,,,3,,,1
49,Upper or Lower Division Elective,,,,,,3,,,1
50,Tier II General Education,,,,,,3,,,1
