Curriculum,Deaf Studies Educational Interpreting Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0211,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,GE General Math Strand,,,,,,3,,,1
4,Second language ,SERP,370A,,,,4,,,1
5,Success Course,TLS,197,,,,1,,,1
6,Foundation Composition,ENGL,102,,,,3,,,2
7,Second language ,SERP,370B,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,American Sign Language III,SERP,431A,,,,4,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,4
16,Tier II General Education,,,,,,3,,,4
17,American Sign Language IV,SERP,431B,,,,4,,,4
18,Major Core Requirements ,EDP,301,,,,3,,,4
19,Major Core Requirements ,SERP,444A,,,,6,,,4
20,Educational Interpreting Courses ,SERP,452,,,,3,,,5
21,Educational Interpreting Courses ,SERP,453,,,,3,,,5
22,Educational Interpreting Courses ,SERP,475,,,,3,,,5
23,Major Core Electives,,,,,,3,,,5
24,Major Core Requirements,,,,,,3,,,5
25,Educational Interpreting Courses ,SERP,456,,,,3,,,6
26,Educational Interpreting Courses,SERP,458,,,,3,,,6
27,Educational Interpreting Courses ,SERP,475,,,,3,,,6
28,Major Core Electives,,,,,,3,,,6
29,Major Core Requirements,,,,,,3,,,6
30,Educational Interpreting Courses,SERP,457,,,,3,,,7
31,Educational Interpreting Courses,SERP,494,,,,3,,,7
32,Major Core Electives,,,,,,3,,,7
33,Major Core Requirements,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Major Core Electives,,,,,,3,,,8
36,Major Core Requirements,,,,,,3,,,8
37,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,1,,,8
