Curriculum,Early Childhood Education
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,GE General Math Strand Math 105 or higher,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,,TLS,197,,,,1,,,1
6,Foundation Composition,ENGL,102,,,,3,,,2
7,Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Mathematics - MATH 302A,,,,,,3,,,3
15,Elective,,,,,,3,,,3
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Elective,,,,,,3,,,4
19,Major Core - TLS 320,,,,,,3,,,4
20,Mathematics - MATH 302B,,,,,,3,,,4
21,Major Core - TLS 411,,,,,,3,,,5
22,Major Core - TLS 481,,,,,,3,,,5
23,Major Core - TLS 301,,,,,,2,,,5
24,Major Core - TLS 317,,,,,,3,,,5
25,Practicum - TLS 394A,,,,,,1,,,5
26,US & AZ Constitution - POL 210,,,,,,3,,,5
27,Major Core - TLS 312,,,,,,3,,,6
28,Major Core - TLS 303,,,,,,3,,,6
29,Major Core - TLS 309,,,,,,2,,,6
30,Major Core - TLS 321,,,,,,1,,,6
31,Student Teaching - TLS 493D,,,,,,6,,,6
32,Major Core - TLS 416,,,,,,3,,,7
33,Major Core - SERP 301C,,,,,,2,,,7
34,Major Core - TLS 319,,,,,,4,,,7
35,Major Core - TLS 316,,,,,,3,,,7
36,Major Core - TLS 357,,,,,,3,,,7
37,Practicum - TLS 394A,,,,,,1,,,7
38,Student Teaching - TLS 493D,,,,,,6,,,8
39,Major Core - TLS 417,,,,,,3,,,8
40,Major Core - TLS 403,,,,,,2,,,8
41,Major Core - TLS 314,,,,,,3,,,8
