Curriculum,Elementary Education Bilingual Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,13-0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,GE General Math Strand,,,,,,3,,,1
5,Intermediate Spanish - SPAN 251 OR 253,,,,,,3,,,1
6,,TLS,197,,,,1,,,1
7,Foundation Composition,ENGL,102,,,,3,,,2
8,Intermediate Spanish - SPAN 323 OR 325,,,,,,4,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Tier I General Education,,,,,,3,,,3
13,Intermediate Conversation/Advanced Spanish - SPAN 330 OR 333,,,,,,3,,,3
14,Elementary Education Core - TLS 409,,,,,,3,,,3
15,Mathematics - MATH 302A,,,,,,3,,,3
16,Tier II General Education,,,,,,3,,,3
17,US & AZ Constitution - POL 210,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Elementary Education Core - TLS 480,,,,,,3,,,4
20,Mathematics - MATH 302B,,,,,,3,,,4
21,"Music, Art & Drama",,,,,,3,,,4
22,Elementary Education Core - TLS 401,,,,,,3,,,5
23,Elementary Education Core - TLS 300,,,,,,3,,,5
24,Practicum - TLS 394,,,,,,1,,,5
25,Tier II General Education,,,,,,3,,,5
26,Elementary Education Core - TLS 402,,,,,,3,,,5
27,Spanish Elective - SPAN 473 OR 441,,,,,,3,,,5
28,Elementary Education Core - TLS 406,,,,,,3,,,6
29,Elementary Education Core - TLS 308,,,,,,3,,,6
30,Elementary Education Core - TLS 323,,,,,,3,,,6
31,Elementary Education Core - TLS 324,,,,,,3,,,6
32,Elementary Education Core - TLS 327,,,,,,3,,,6
33,Practicum - TLS 394,,,,,,1,,,6
34,Elementary Education Core - TLS 322,,,,,,3,,,7
35,Elementary Education Core - TLS 326,,,,,,3,,,7
36,Elementary Education Core - TLS 336,,,,,,3,,,7
37,Elementary Education Core - TLS 351,,,,,,3,,,7
38,Elementary Education Core - SERP 400,,,,,,3,,,7
39,Practicum - TLS 394,,,,,,1,,,7
40,Student Teaching - TLS 493E,,,,,,9,,,8
41,Capstone - TLS 498,,,,,,3,,,8
