Curriculum,Elementary Education English as a Second Language Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,GE General Math Strand,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,,TLS,197,,,,1,,,1
6,Foundation Composition,ENGL,102,,,,3,,,2
7,Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,3
12,Elective,,,,,,4,,,3
13,Elementary Education Core - TLS 409,,,,,,3,,,3
14,Mathematics - MATH 302A,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Elementary Education Core - TLS 480,,,,,,3,,,4
19,Mathematics - MATH 302B,,,,,,3,,,4
20,"Music, Art & Drama",,,,,,3,,,4
21,Elementary Education Core - TLS 301,,,,,,3,,,5
22,Elementary Education Core - TLS 300,,,,,,3,,,5
23,Elementary Education Core - TLS 402,,,,,,1,,,5
24,Practicum - TLS 394,,,,,,3,,,5
25,Tier II General Education,,,,,,3,,,5
26,US & AZ Constitution - POL 210,,,,,,3,,,5
27,Elementary Education Core - TLS 406,,,,,,3,,,6
28,Elementary Education Core - TLS 308,,,,,,3,,,6
29,Elementary Education Core - TLS 323,,,,,,3,,,6
30,Elementary Education Core - TLS 324,,,,,,3,,,6
31,Elementary Education Core - TLS 327,,,,,,3,,,6
32,Practicum - TLS 394,,,,,,1,,,6
33,Elementary Education Core - TLS 322,,,,,,3,,,7
34,Elementary Education Core - TLS 326,,,,,,3,,,7
35,Elementary Education Core - TLS 336,,,,,,3,,,7
36,Elementary Education Core - TLS 351,,,,,,3,,,7
37,Elementary Education Core - SERP 400,,,,,,3,,,7
38,Practicum - TLS 394,,,,,,1,,,7
39,Student Teaching - TLS 493E,,,,,,9,,,8
40,Capstone - TLS 498,,,,,,3,,,8
