Curriculum,Literacy Learning and Leadership Leadership for Equity Access and Success in Education Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,GE General Math Strand,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,,TLS,197,,,,1,,,1
6,Foundation Composition,ENGL,102,,,,3,,,2
7,Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Major Core Requirements,,,,,,3,,,3
14,Major Core Requirements,,,,,,3,,,3
15,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,3
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Major Core Requirements,,,,,,3,,,4
20,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,4
21,Major Core Requirements,,,,,,3,,,5
22,Major Core Electives,,,,,,3,,,5
23,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,Major Core Electives,,,,,,3,,,6
27,Major Core Electives,,,,,,3,,,6
28,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Minor,,,,,,3,,,6
31,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,7
32,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,7
33,"Leadership for Equity, Access and Success in Edu Emphasis Electives",,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,8
37,"Leadership for Equity, Access and Success in Edu Emphasis Courses",,,,,,3,,,8
38,"Leadership for Equity, Access and Success in Edu Emphasis Electives",,,,,,3,,,8
39,"Leadership for Equity, Access and Success in Edu Emphasis Electives",,,,,,3,,,8
40,Elective,,,,,,3,,,8
