Curriculum,Art History
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Studio Art Course,,,,,,2,,,1
2,Studio Art Course,,,,,,2,,,1
3,Pre-Historic to Gothic Art History,ARH,201,,,,3,,,1
4,First Year Composition,ENGL,101,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,Tier I General Education,,,,,,3,,,1
7,Renaissance to Modern Art History,ARH,202,,,,3,,,2
8,First Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,MATH,,,,,,3,,,2
12,ARH Major Emphasis Course,ARH,,,,,3,,,3
13,ARH Major Emphasis Course,ARH,,,,,3,,,3
14,Minor,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Tier I General Education,,,,,,3,,,3
17,ARH Major Emphasis Course,ARH,,,,,3,,,4
18,ARH Major Emphasis Course,ARH,,,,,3,,,4
19,Minor,,,,,,3,,,4
20,Second Language,,,,,,4,,,4
21,Tier I General Education,,,,,,3,,,4
22,ARH Major Emphasis Course,ARH,,,,,3,,,5
23,Minor,,,,,,3,,,5
24,Second Language,,,,,,4,,,5
25,Tier II General Education,,,,,,3,,,5
26,General Elective,,,,,,3,,,5
27,ARH Major Emphasis Course,ARH,,,,,3,,,6
28,Upper Division Art Elective,,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Second Language,,,,,,4,,,6
31,General Elective,,,,,,3,,,6
32,ARH Major Emphasis Course,ARH,,,,,3,,,7
33,Upper Division Art Elective,,,,,,3,,,7
34,Tier II General Education,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,General Elective,,,,,,1,,,7
37,400-level ARH Elective,,,,,,3,,,8
38,Upper Division Art Elective,,,,,,3,,,8
39,Minor,,,,,,3,,,8
40,Tier II General Education,,,,,,3,,,8
