Curriculum,Art and Visual Culture Education Community Museums Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Space,ART,100B,,,,2,,,1
3,Surface,ART,100E,,,,2,,,1
4,ART Foundation Course,ART,,,,,2,,,1
5,Survey of Western Art in Society,ARH,201,,,,3,,,1
6,First Year Composition,ENGL,101,,,,3,,,1
7,Foundations of Art and Visual Culture Education,ARE,230,,,,3,,,1
8,ART Foundation Course,ART,,,,,2,,,2
9,ART Foundation Course,ART,,,,,2,,,2
10,Survey of Western Art in Society,ARH,202,,,,3,,,2
11,First Year Composition,ENGL,102,,,,3,,,2
12,Contemporary Art and Theory,ART,119,,,,3,,,2
13,Tier I General Education,,,,,,3,,,2
14,"Community, Culture and Art Education",ARE,420,,,,3,,,3
15,2-D Core Studies,,,,,,3,,,3
16,Art History Core Studies,,,,,,3,,,3
17,Second Language,,,,,,4,,,3
18,MATH,,,,,,3,,,3
19,Theory & Practice in Art Museum Education,ARE,425,,,,3,,,4
20,2-D Core Studies,,,,,,3,,,4
21,400 level Art History Course,,,,,,3,,,4
22,Second Language,,,,,,4,,,4
23,Tier I General Education,,,,,,3,,,4
24,400 level ARVC Elective,,,,,,3,,,5
25,3-D Core Studies,,,,,,3,,,5
26,3-D Core Studies,,,,,,3,,,5
27,Tier I General Education,,,,,,3,,,5
28,Tier I General Education,,,,,,3,,,5
29,Wildcat Art,ARE,438,,,,3,,,6
30,400 level ARVC Elective,,,,,,3,,,6
31,Studio Emphasis Area Course,,,,,,3,,,6
32,Internship,ARE,393,,,,3,,,6
33,Tier I General Education,,,,,,3,,,6
34,Internship,ARE,493,,,,2,,,7
35,Tier I General Education,,,,,,3,,,7
36,Tier II General Education,,,,,,3,,,7
37,Studio Emphasis Area Course,,,,,,3,,,7
38,General Elective,,,,,,2,,,7
39,Internship,ARE,493,,,,3,,,8
40,Studio Emphasis Area Course,,,,,,3,,,8
41,Tier II General Education,,,,,,3,,,8
42,Tier II General Education,,,,,,3,,,8
