Curriculum,Art and Visual Culture Education Teaching Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Space,ART,100B,,,,2,,,1
3,Surface,ART,100E,,,,2,,,1
4,ART Foundation Course,ART,,,,,2,,,1
5,Survey of Western Art in Society,ARH,201,,,,3,,,1
6,First Year Composition,ENGL,101,,,,3,,,1
7,Foundations of Art and Visual Culture Education,ARE,230,,,,3,,,1
8,ART Foundation Course,ART,,,,,2,,,2
9,ART Foundation Course,ART,,,,,2,,,2
10,Survey of Western Art in Society,ARH,202,,,,3,,,2
11,First Year Composition,ENGL,102,,,,3,,,2
12,Contemporary Art and Theory,ART,119,,,,3,,,2
13,Tier I General Education,,,,,,3,,,2
14,Pedagogical Practices in Art and Visual Culture or ARE 460 Curriculum Theory in Art & Visua,ARE,431,,,,3,,,3
15,2-D Core Studies,,,,,,3,,,3
16,Art History Core Studies,,,,,,3,,,3
17,Second Language,,,,,,4,,,3
18,Tier I General Education,,,,,,3,,,3
19,Teaching Environments in Art and Visual Culture Education,ARE,300,,,,3,,,4
20,2-D Core Studies,,,,,,3,,,4
21,400 level Art History Course,,,,,,3,,,4
22,Second Language,,,,,,4,,,4
23,Tier I General Education,,,,,,3,,,4
24,400 level ARVC Elective,,,,,,3,,,5
25,Studio Emphasis Area Course,,,,,,3,,,5
26,3-D Core Studies,,,,,,3,,,5
27,Ed Psych and Child and Adolescent Development,EDP,301,,,,3,,,5
28,Tier I General Education,,,,,,3,,,5
29,3-D Core Studies,,,,,,3,,,6
30,400 level ARVC Elective,,,,,,3,,,6
31,Studio Emphasis Area Course,,,,,,3,,,6
32,Education of Students with Diverse Abilities,,,,,,3,,,6
33,Tier I General Education,,,,,,3,,,6
34,400 level ARVC Elective,,,,,,3,,,7
35,Methods of Teaching English to English Language Learners,LCEV,408,,,,3,,,7
36,Tier I General Education,,,,,,3,,,7
37,Tier II General Education,,,,,,3,,,7
38,US and Arizona Constitution,POL,210,,,,3,,,7
39,Wildcat Art,ARE,438,,,,3,,,8
40,Studio Emphasis Area Course,,,,,,3,,,8
41,Tier II General Education,,,,,,3,,,8
42,Tier II General Education,,,,,,3,,,8
43,Student Teaching,ARE,493,,,,12,,,9
