Curriculum,Music Creative Studies Emphasis,,,,,,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,,,,,,
Degree Type,BA,,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,,
CIP,50-0904,,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,,,,,
1,First-Year Composition,ENGL,101,,,,3,,,1,,,,,
2,MATH,,,,,,3,,,1,,,,,
3,Musical Skills and Structure I,MUS,120A,,,,3,,,1,,,,,
4,Piano Class,MUS,110A,,,,1,,,1,,,,,
5,Introduction to Music Literature,MUS,130A,,,,2,,,1,,,,,
6,Second Language,,,,,,4,,,1,,,,,
7,Applied Lessons,MUSI,182,,,,2,,,1,,,,,
8,Large Ensemble,MUS,200,,,,1,,,1,,,,,
9,First-Year Composition,ENGL,102,,,,3,,,2,,,,,
10,Tier I General Education,,,,,,3,,,2,,,,,
11,Musical Skills and Structure I,MUS,120B,,,,3,,,2,,,,,
12,Piano Class,MUS,110B,,,,1,,,2,,,,,
13,Introduction to Music Literature,MUS,130B,,,,2,,,2,,,,,
14,Second Language,,,,,,4,,,2,,,,,
15,Applied Lessons,MUSI,182,,,,2,,,2,,,,,
16,Large Ensemble,MUS,200,,,,1,,,2,,,,,
17,Tier I General Education,,,,,,3,,,3,,,,,
18,Upper Division Core Electives,,,,,,3,,,3,,,,,
19,Second Language,,,,,,4,,,3,,,,,
20,Musical Skills and Structure II,MUS,220A,,,,3,,,3,,,,,
21,Applied Lessons,MUSI,282,,,,2,,,3,,,,,
22,Large Ensemble,MUS,200,,,,1,,,3,,,,,
23,Tier I General Education,,,,,,3,,,4,,,,,
24,Musical Skills and Structure II,MUS,220B,,,,3,,,4,,,,,
25,Upper Division Core Electives,,,,,,3,,,4,,,,,
26,Second Language,,,,,,4,,,4,,,,,
27,Applied Lessons,MUSI,282,,,,2,,,4,,,,,
28,Large Ensemble,MUS,200,,,,1,,,4,,,,,
29,Tier I General Education,,,,,,3,,,5,,,,,
30,Tier I General Education,,,,,,3,,,5,,,,,
31,History of Western Music,MUS,330A,,,,3,,,5,,,,,
32,Applied Lessons,MUSI,382,,,,2,,,5,,,,,
33,Large Ensemble,MUS,400,,,,1,,,5,,,,,
34,History of Western Music,MUS,330B,,,,3,,,6,,,,,
35,Tier II General Education,,,,,,3,,,6,,,,,
36,Tier I General Education,,,,,,3,,,6,,,,,
37,Applied Lessons,MUSI,382,,,,2,,,6,,,,,
38,Large Ensemble,MUS,400,,,,1,,,6,,,,,
39,Minor Course,,,,,,3,,,7,,,,,
40,Minor Course,,,,,,3,,,7,,,,,
41,Minor Course,,,,,,3,,,7,,,,,
42,Tier II General Education,,,,,,3,,,7,,,,,
43,Large Ensemble,MUS,400,,,,1,,,7,,,,,
44,Upper Division Core Electives,,,,,,3,,,7,,,,,
45,Minor Course,,,,,,3,,,8,,,,,
46,Minor Course,,,,,,3,,,8,,,,,
47,Minor Course,,,,,,3,,,8,,,,,
48,Upper Division Core Electives,,,,,,1,,,8,,,,,
49,Tier II General Education,,,,,,3,,,8,,,,,
50,Large Ensemble,MUS,400,,,,1,,,8,,,,,
