Curriculum,Music Education
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Large Ensemble,MUS,200,,,,1,,,1
4,Individual Lessons,MUSI,182,,,,2,,,1
5,Tier I General Education,,,,,,3,,,1
6,Musical Skills and Structure I,MUS,120A,,,,3,,,1
7,Second Language,,,,,,4,,,1
8,First-Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Large Ensemble,MUS,200,,,,1,,,2
11,Individual Lessons,MUSI,182,,,,2,,,2
12,Tier I General Education,,,,,,1,,,2
13,Musical Skills and Structure I,MUS,120B,,,,3,,,2
14,Techniques,,,,,,1,,,2
15,Second Language,,,,,,4,,,2
16,Tier I General Education,,,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,Piano Class,MUS,210A,,,,1,,,3
19,Musical Skills and Structure II,MUS,220A,,,,3,,,3
20,Techniques,,,,,,2,,,3
21,Individual Lessons,MUSI,282,,,,2,,,3
22,Introduction to Music Education,MUS,250,,,,1,,,3
23,Large Ensemble,MUS,200,,,,1,,,3
24,Techniques,,,,,,2,,,4
25,Musical Skills and Structure II,MUS,220B,,,,3,,,4
26,Large Ensemble,MUS,200,,,,1,,,4
27,Individual Lessons,MUSI,282,,,,2,,,4
28,Tier I General Education,,,,,,3,,,4
29,Teaching Music in Secondary Schools,MUS,338M,,,,3,,,4
30,Piano Class,MUS,210B,,,,1,,,4
31,Ed. Psych and Child and Adolescent Development,EDP,301,,,,3,,,5
32,Schooling in America,TLS,350,,,,3,,,5
33,Large Ensemble,MUS,400,,,,1,,,5
34,Individual Lessons,MUSI,382,,,,2,,,5
35,History of Western Music,MUS,330A,,,,3,,,5
36,Introduction to Conducting,MUS,370,,,,2,,,5
37,Teaching Music in Elementary Schools,MUS,450,,,,3,,,5
38,Techniques,,,,,,1,,,5
39,"Language, Reading and Culture",TLS,435,,,,3,,,6
40,Methods of Teaching English to English Language Learners,LCEV,408,,,,3,,,6
41,Large Ensemble,MUS,400,,,,1,,,6
42,Individual Lessons,MUSI,382,,,,1,,,6
43,History of Western Music,MUS,330B,,,,2,,,6
44,Techniques,,,,,,2,,,6
45,U.S. and Arizona Constitution,POL,210,,,,3,,,6
46,Methods for Sec. Vocal Music Education,MUS,451,,,,3,,,6
47,Tier II General Education,,,,,,3,,,7
48,Tier II General Education,,,,,,3,,,7
49,Tier II General Education,,,,,,3,,,7
50,Large Ensemble,MUS,400,,,,1,,,7
51,Individual Lessons,MUSI,482,,,,2,,,7
52,Band or String Methods,,,,,,3,,,7
53,Student Teaching,MUS,493M,,,,12,,,8
