Curriculum,Musical Theatre
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Costume Crew,TAR,118,,,,1,,,1
2,Acting I,TAR,149,,,,3,,,1
3,Intro to Voice & Movement I,TAR,197A,,,,1,,,1
4,Musical Theatre I Voice Class,TAR,197V,,,,2,,,1
5,Performance,TAR,497F,,,,1,,,1
6,Basic Musicianship,MUS,100,,,,3,,,1
7,,ENGL,101,,,,3,,,1
8,Math,,,,,,3,,,1
9,Stagecraft Crew,TAR,113,,,,1,,,2
10,Acting II,TAR,151,,,,3,,,2
11,Intro to Voice & Movement II,TAR,197B,,,,1,,,2
12,Musical Theatre I Voice Class,TAR,197V,,,,2,,,2
13,Performance,TAR,497F,,,,1,,,2
14,Dance,,,,,,1,,,2
15,Exploring Music through Piano,MUS,101A,,,,3,,,2
16,,ENGL,102,,,,3,,,2
17,Tier I General Education,,,,,,3,,,2
18,Movement Styles for Mus Theatre I,TAR,133,,,,3,,,3
19,Voice & Movement I,TAR,203,,,,2,,,3
20,Acting III,TAR,250,,,,3,,,3
21,Musical Theatre II Voice Class,TAR,297V,,,,2,,,3
22,Performance,TAR,497F,,,,1,,,3
23,Understanding Mus or 108 Survey,MUS,107,,,,3,,,3
24,Tier I General Education,,,,,,3,,,3
25,Voice & Movement II,TAR,204,,,,2,,,4
26,Musical Theatre I,TAR,205A,,,,3,,,4
27,Acting IV,TAR,251,,,,3,,,4
28,Musical Theatre II Voice Class,TAR,297V,,,,2,,,4
29,Performance,TAR,497F,,,,1,,,4
30,Dance,,,,,,1,,,4
31,Tier I General Education,,,,,,3,,,4
32,Tier I General Education,,,,,,3,,,4
33,Voice & Movement III,TAR,305,,,,2,,,5
34,Musical Theatre II,TAR,403,,,,3,,,5
35,Acting V,TAR,449,,,,3,,,5
36,Performance,TAR,497F,,,,1,,,5
37,Musical Theatre Private Voice,TAR,497V,,,,2,,,5
38,Dance,,,,,,1,,,5
39,Tier I General Education,,,,,,3,,,5
40,Voice & Movement IV,TAR,306,,,,2,,,6
41,Movement Styles for Mus Theatre II,TAR,333,,,,3,,,6
42,Acting VI,TAR,451,,,,3,,,6
43,Performance,TAR,497F,,,,1,,,6
44,Musical Theatre Private Voice,TAR,497V,,,,2,,,6
45,Tier I General Education,,,,,,3,,,6
46,Musical Theatre III,TAR,404,,,,3,,,7
47,Acting VII,TAR,452,,,,3,,,7
48,Performance,TAR,497F,,,,1,,,7
49,Musical Theatre Private Voice,TAR,497V,,,,2,,,7
50,Dance,,,,,,1,,,7
51,Second Language,,,,,,4,,,7
52,Tier II General Education,,,,,,3,,,7
53,Theatre History,,,,,,3,,,8
54,Performance,TAR,497F,,,,1,,,8
55,Musical Theatre Private Voice,TAR,497V,,,,2,,,8
56,Second Language,,,,,,4,,,8
57,Tier II General Education,,,,,,3,,,8
58,Tier II General Education,,,,,,3,,,8
