Curriculum,Performance Guitar Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50-0916,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Individual Studies,MUSI,185,,,,4,,,1
4,Coached Ensemble,MUS,201,,,,1,,,1
5,Piano Class,MUS,110A,,,,1,,,1
6,Musical Skills and Structure I,MUS,120A,,,,3,,,1
7,Introduction to Music Literature,MUS,130A,,,,2,,,1
8,First-Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Individual Studies,MUSI,185,,,,4,,,2
11,Coached Ensemble,MUS,201,,,,1,,,2
12,Piano Class,MUS,110B,,,,1,,,2
13,Musical Skills and Structure I,MUS,120B,,,,3,,,2
14,Introduction to Music Literature,MUS,130B,,,,2,,,2
15,Tier I General Education,,,,,,3,,,3
16,Musical Skills and Structure II,MUS,220A,,,,3,,,3
17,Coached Ensemble,MUS,201,,,,1,,,3
18,Individual Studies,MUSI,285,,,,4,,,3
19,Music Elective,,,,,,3,,,3
20,Second Language,,,,,,4,,,3
21,Tier I General Education,,,,,,3,,,4
22,Musical Skills and Structure II,MUS,220B,,,,3,,,4
23,Individual Studies,MUSI,285,,,,4,,,4
24,Coached Ensemble,MUS,201,,,,1,,,4
25,Music Elective,,,,,,3,,,4
26,Second Language,,,,,,4,,,4
27,History of Western Music,MUS,330A,,,,3,,,5
28,Coached Ensemble,MUS,401,,,,1,,,5
29,Introduction to Conducting,MUS,370,,,,2,,,5
30,Tier I General Education,,,,,,3,,,5
31,Tier I General Education,,,,,,3,,,5
32,Individual Studies,MUSI,385,,,,4,,,5
33,Careers in Music,MUS,427A,,,,2,,,5
34,History of Western Music,MUS,330B,,,,3,,,6
35,Individual Studies,MUSI,385,,,,4,,,6
36,Coached Ensemble,MUS,401,,,,1,,,6
37,GE TIER 1,,,,,,3,,,6
38,Tier I General Education,,,,,,3,,,6
39,Tier I General Education,,,,,,2,,,6
40,Tier II General Education,,,,,,3,,,7
41,Tier II General Education,,,,,,2,,,7
42,Counterpoint,MUS,420A,,,,3,,,7
43,Coached Ensemble,MUS,401,,,,1,,,7
44,Individual Studies,MUSI,485,,,,4,,,7
45,Music Elective,,,,,,2,,,7
46,Tier II General Education,,,,,,3,,,8
47,Pedagogy,MUS,410B,,,,2,,,8
48,Counterpoint,MUS,420B,,,,3,,,8
49,Senior Capstone: Recital,MUS,498,,,,1,,,8
50,Individual Studies,MUSI,485,,,,4,,,8
51,Coached Ensemble,MUS,401,,,,1,,,8
