Curriculum,Performance Harp Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Individual Studies,MUSI,185,,,,4,,,1
4,Large Ensemble,MUS,200,,,,1,,,1
5,Coached Ensemble,MUS,201,,,,1,,,1
6,Piano Class,MUS,110A,,,,1,,,1
7,Musical Skills and Structure I,MUS,120A,,,,3,,,1
8,Introduction to Music Literature,MUS,130A,,,,2,,,1
9,First-Year Composition,ENGL,102,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Individual Studies,MUSI,185,,,,4,,,2
12,Large Ensemble,MUS,200,,,,1,,,2
13,Coached Ensemble,MUS,201,,,,1,,,2
14,Piano Class,MUS,110B,,,,1,,,2
15,Musical Skills and Structure I,MUS,120B,,,,3,,,2
16,Introduction to Music Literature,MUS,130B,,,,2,,,2
17,Tier I General Education,,,,,,3,,,3
18,Piano Class,MUS,210A,,,,1,,,3
19,Musical Skills and Structure II,MUS,220A,,,,3,,,3
20,Coached Ensemble,MUS,201,,,,1,,,3
21,Individual Studies,MUSI,285,,,,4,,,3
22,Large Ensemble,MUS,200,,,,1,,,3
23,Second Language,,,,,,4,,,3
24,Tier I General Education,,,,,,3,,,4
25,Piano Class,MUS,210B,,,,1,,,4
26,Musical Skills and Structure II,MUS,220B,,,,3,,,4
27,Individual Studies,MUSI,285,,,,4,,,4
28,Coached Ensemble,MUS,201,,,,1,,,4
29,Large Ensemble,MUS,200,,,,1,,,4
30,Second Language,,,,,,4,,,4
31,Tier I General Education,,,,,,3,,,5
32,Tier I General Education,,,,,,3,,,5
33,History of Western Music,MUS,330A,,,,3,,,5
34,Large Ensemble,MUS,400,,,,1,,,5
35,Coached Ensemble,MUS,401,,,,1,,,5
36,Introduction to Conducting,MUS,370,,,,2,,,5
37,Individual Studies,MUSI,385,,,,4,,,5
38,Tier I General Education,,,,,,3,,,6
39,Tier I General Education,,,,,,3,,,6
40,History of Western Music,MUS,330B,,,,3,,,6
41,Individual Studies,MUSI,385,,,,4,,,6
42,Large Ensemble,MUS,400,,,,1,,,6
43,Coached Ensemble,MUS,401,,,,1,,,6
44,Tier II General Education,,,,,,3,,,7
45,or 410B Pedagogy,MUS,410A,,,,2,,,7
46,or 427B Careers in Music,MUS,427A,,,,2,,,7
47,Large Ensemble,MUS,400,,,,1,,,7
48,Coached Ensemble,MUS,401,,,,1,,,7
49,Individual Studies,MUSI,485,,,,4,,,7
50,Music Elective,,,,,,3,,,7
51,Tier II General Education,,,,,,3,,,8
52,Music Elective,,,,,,2,,,8
53,Orchestration,MUS,421,,,,3,,,8
54,Senior Capstone: Recital,MUS,498,,,,1,,,8
55,Individual Studies,MUSI,485,,,,4,,,8
56,Large Ensemble,MUS,400,,,,1,,,8
57,Coached Ensemble,MUS,401,,,,1,,,8
