Curriculum,Performance Jazz Studies Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BM,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50-0910,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Piano Class,MUS,110A,,,,1,,,1
4,Musical Skills and Structure I,MUS,120A,,,,3,,,1
5,Introduction to Music Literature,MUS,130A,,,,2,,,1
6,Large Ensemble,MUS,200,,,,1,,,1
7,Coached Ensemble,MUS,201,,,,1,,,1
8,Individual Studies,MUSI,182,,,,2,,,1
9,Individual Studies,MUSI,182,,,,2,,,1
10,First-Year Composition,ENGL,102,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Piano Class,MUS,110B,,,,1,,,2
13,Musical Skills and Structure I,MUS,120B,,,,3,,,2
14,Introduction to Music Literature,MUS,130B,,,,2,,,2
15,Large Ensemble,MUS,200,,,,1,,,2
16,Coached Ensemble,MUS,201,,,,1,,,2
17,Individual Studies,MUSI,182,,,,2,,,2
18,Individual Studies,MUSI,182,,,,2,,,2
19,Tier I General Education,,,,,,1,,,3
20,Musical Skills and Structure II,MUS,220A,,,,3,,,3
21,Jazz Piano,MUS,215,,,,1,,,3
22,Jazz History,MUS,231,,,,3,,,3
23,Large Ensemble,MUS,200,,,,1,,,3
24,Individual Studies,MUSI,282,,,,2,,,3
25,Individual Studies,MUSI,282,,,,2,,,3
26,Second Language,,,,,,4,,,3
27,Tier I General Education,,,,,,3,,,4
28,Piano Class,MUS,210B,,,,1,,,4
29,Musical Skills and Structure II,MUS,220B,,,,3,,,4
30,Large Ensemble,MUS,200,,,,1,,,4
31,Individual Studies,MUSI,282,,,,2,,,4
32,Individual Studies,MUSI,282,,,,2,,,4
33,Second Language,,,,,,4,,,4
34,MATH,,,,,,3,,,5
35,Tier I General Education,,,,,,3,,,5
36,Jazz Improvisation,MUS,321A,,,,2,,,5
37,History of Western Music,MUS,330A,,,,3,,,5
38,Introduction to Conducting,MUS,370,,,,2,,,5
39,Large Ensemble,MUS,400,,,,1,,,5
40,Individual Studies,MUSI,382,,,,2,,,5
41,Individual Studies,MUSI,382,,,,2,,,5
42,Tier I General Education,,,,,,3,,,6
43,Tier I General Education,,,,,,3,,,6
44,Jazz Improvisation,MUS,321B,,,,2,,,6
45,History of Western Music,MUS,330B,,,,3,,,6
46,Large Ensemble,MUS,400,,,,1,,,6
47,Individual Studies,MUSI,382,,,,2,,,6
48,Individual Studies,MUSI,382,,,,2,,,6
49,Tier II General Education,,,,,,3,,,7
50,Recording Studio Production,MUS,302,,,,3,,,7
51,Jazz Composition,MUS,341,,,,3,,,7
52,Careers in Music,MUS,427A,,,,2,,,7
53,Coached Ensemble,MUS,401,,,,1,,,7
54,Individual Studies,MUSI,482,,,,2,,,7
55,Individual Studies,MUSI,482,,,,2,,,7
56,Tier II General Education,,,,,,3,,,8
57,Tier II General Education,,,,,,3,,,8
58,Jazz Arranging,MUS,422,,,,2,,,8
59,Senior Capstone: Recital,MUS,498,,,,1,,,8
60,Careers in Music,MUS,427B,,,,2,,,8
61,Coached Ensemble,MUS,401,,,,1,,,8
62,Individual Studies,MUSI,482,,,,2,,,8
63,Individual Studies,MUSI,482,,,,2,,,8
