Curriculum,Performance Piano Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Musical Skills and Structure I,MUS,120A,,,,3,,,1
5,Introduction to Music Literature,MUS,130A,,,,2,,,1
6,or 201 Ensemble,MUS,200,,,,1,,,1
7,Individual Studies,MUSI,185,,,,4,,,1
8,First-Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Musical Skills and Structure I,MUS,120B,,,,3,,,2
12,Introduction to Music Literature,MUS,130B,,,,2,,,2
13,or 201 Ensemble,MUS,200,,,,1,,,2
14,Individual Studies,MUSI,185,,,,4,,,2
15,Tier I General Education,,,,,,3,,,3
16,Tier I General Education,,,,,,3,,,3
17,Musical Skills and Structure II,MUS,220A,,,,3,,,3
18,or 201 Ensemble,MUS,200,,,,1,,,3
19,Individual Studies,MUSI,285,,,,4,,,3
20,Second Language,,,,,,4,,,3
21,Tier I General Education,,,,,,3,,,4
22,Music Elective,,,,,,1,,,4
23,Musical Skills and Structure II,MUS,220B,,,,3,,,4
24,or 201 Ensemble,MUS,200,,,,1,,,4
25,Individual Studies,MUSI,285,,,,4,,,4
26,Second Language,,,,,,4,,,4
27,History of Western Music,MUS,330A,,,,3,,,5
28,Introduction to Conducting,MUS,370,,,,2,,,5
29,Piano Literature,MUS,426A,,,,3,,,5
30,Careers in Music,MUS,427A,,,,2,,,5
31,or 401 Ensemble,MUS,400,,,,1,,,5
32,Individual Studies,MUSI,385,,,,4,,,5
33,Tier II General Education,,,,,,3,,,6
34,History of Western Music,MUS,330B,,,,3,,,6
35,Piano Literature,MUS,426B,,,,3,,,6
36,Careers in Music,MUS,427B,,,,2,,,6
37,Individual Studies,MUSI,385,,,,4,,,6
38,or 401 Ensemble,MUS,400,,,,1,,,6
39,Tier II General Education,,,,,,3,,,7
40,Tier II General Education,,,,,,3,,,7
41,Pedagogy,MUS,410A,,,,2,,,7
42,Counterpoint,MUS,420A,,,,3,,,7
43,or 401 Ensemble,MUS,400,,,,1,,,7
44,Individual Studies,MUSI,485,,,,4,,,7
45,Pedagogy,MUS,410B,,,,2,,,8
46,Counterpoint,MUS,420B,,,,3,,,8
47,Orchestration,MUS,421,,,,3,,,8
48,Senior Capstone: Recital,MUS,498,,,,1,,,8
49,Individual Studies,MUSI,485,,,,4,,,8
50,or 401 Ensemble,MUS,400,,,,1,,,8
