Curriculum,Performance Voice Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Operatic Stage Training,MUS,105L,,,,1,,,1
4,Piano Class,MUS,110A,,,,1,,,1
5,Musical Skills and Structure I,MUS,120A,,,,3,,,1
6,Introduction to Music Literature,MUS,130A,,,,2,,,1
7,Large Ensemble,MUS,200,,,,1,,,1
8,Individual Studies,MUSI,185,,,,4,,,1
9,First-Year Composition,ENGL,102,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Piano Class,MUS,110B,,,,1,,,2
12,Musical Skills and Structure I,MUS,120B,,,,3,,,2
13,Introduction to Music Literature,MUS,130B,,,,2,,,2
14,Large Ensemble,MUS,200,,,,1,,,2
15,Individual Studies,MUSI,185,,,,4,,,2
16,Tier I General Education,,,,,,3,,,3
17,Piano Class,MUS,210A,,,,1,,,3
18,Musical Skills and Structure II,MUS,220A,,,,3,,,3
19,Individual Studies,MUSI,285,,,,4,,,3
20,Large Ensemble,MUS,200,,,,1,,,3
21,Second Language,,,,,,4,,,3
22,Tier I General Education,,,,,,3,,,4
23,Piano Class,MUS,210B,,,,1,,,4
24,Musical Skills and Structure II,MUS,220B,,,,3,,,4
25,Large Ensemble,MUS,200,,,,1,,,4
26,Individual Studies,MUSI,285,,,,4,,,4
27,Second Language,,,,,,4,,,4
28,Tier I General Education,,,,,,3,,,5
29,Music Elective,,,,,,3,,,5
30,History of Western Music,MUS,330A,,,,3,,,5
31,Introduction to Conducting,MUS,370,,,,2,,,5
32,Diction for Singers,MUS,411A,,,,2,,,5
33,Large Ensemble,MUS,400,,,,1,,,5
34,Individual Studies,MUSI,385,,,,4,,,5
35,Tier I General Education,,,,,,3,,,6
36,Tier I General Education,,,,,,3,,,6
37,Music Elective,,,,,,1,,,6
38,History of Western Music,MUS,330B,,,,3,,,6
39,Diction for Singers,MUS,411A,,,,2,,,6
40,Individual Studies,MUSI,385,,,,4,,,6
41,Large Ensemble,MUS,400,,,,1,,,6
42,Tier II General Education,,,,,,3,,,7
43,Tier II General Education,,,,,,3,,,7
44,Music Elective,,,,,,3,,,7
45,Opera Theatre,MUS,405L,,,,1,,,7
46,Individual Studies,MUSI,485,,,,4,,,7
47,Large Ensemble,MUS,400,,,,1,,,7
48,Tier II General Education,,,,,,3,,,8
49,Music Elective,,,,,,2,,,8
50,Opera Theatre,MUS,405L,,,,1,,,8
51,Senior Capstone: Recital,MUS,498,,,,1,,,8
52,Orchestration,MUS,421,,,,3,,,8
53,Individual Studies,MUSI,485,,,,4,,,8
54,Large Ensemble,MUS,400,,,,1,,,8
