Curriculum,Studio Art 3D and Extended Media Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BFA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0702,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Gaze,ART,100C,,,,2,,,1
3,Contemporary Art & Theory,ART,119,,,,3,,,1
4,Survey of Western Art I,ARH,201,,,,3,,,1
5,First Year Composition,ENGL,101,,,,3,,,1
6,Tier I General Education,,,,,,3,,,1
7,Mapping,ART,100A,,,,2,,,2
8,Mapping,ART,100A,,,,2,,,2
9,Gaze,ART,100C,,,,2,,,2
10,Gaze,ART,100C,,,,2,,,2
11,Survey of Western Art II,ARH,202,,,,3,,,2
12,First Year Composition,ENGL,102,,,,3,,,2
13,Math,,,,,,3,,,2
14,First Semester Second Language,,,,,,4,,,3
15,200-level 2-D Studio Art,,,,,,3,,,3
16,200-level 3-D Studio Art,,,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,Tier I General Education,,,,,,3,,,3
19,Second Semester Second Language,,,,,,4,,,4
20,200-level 2-D Studio Art,,,,,,3,,,4
21,200-level 3-D Studio Art,,,,,,3,,,4
22,Tier I General Education,,,,,,3,,,4
23,Tier I General Education,,,,,,3,,,4
24,200-level 2-D Studio Art,,,,,,3,,,5
25,300-level 3-D Studio Art,,,,,,3,,,5
26,300-level ARH Course,,,,,,3,,,5
27,Tier I General Education,,,,,,3,,,5
28,300-level 3-D Studio Art,,,,,,3,,,5
29,300/400-level 3-D Studio Art,,,,,,3,,,6
30,300/400-level 3-D Studio Art,,,,,,3,,,6
31,200-level 2-D or 3-D Studio Art,,,,,,3,,,6
32,Tier II General Education,,,,,,3,,,6
33,300/400-level Art Elective,,,,,,3,,,6
34,300/400-level 3-D Studio Art,,,,,,3,,,7
35,300/400-level 3-D Studio Art,,,,,,3,,,7
36,300/400-level ARH Course,,,,,,3,,,7
37,300/400-level Art Elective,,,,,,3,,,7
38,Tier II General Education,,,,,,3,,,7
39,300/400-level 3D Studio Art,,,,,,3,,,8
40,300/400-level 3D Studio Art,,,,,,3,,,8
41,400-level ARH Course,,,,,,3,,,8
42,300/400-level Art Elective,,,,,,3,,,8
43,Tier II General Education,,,,,,3,,,8
