Curriculum,Studio Art Illustration and Design Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BFA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0702,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Gaze,ART,100C,,,,2,,,1
3,Contemporary Art & Theory,ART,119,,,,3,,,1
4,Survey of Western Art I,ARH,201,,,,3,,,1
5,First Year Composition,ENGL,101,,,,3,,,1
6,Tier I General Education,,,,,,3,,,1
7,Mapping,ART,100A,,,,2,,,2
8,Mapping,ART,100A,,,,2,,,2
9,Gaze,ART,100C,,,,2,,,2
10,Gaze,ART,100C,,,,2,,,2
11,Survey of Western Art II,ARH,202,,,,3,,,2
12,First Year Composition,ENGL,102,,,,3,,,2
13,Math,,,,,,3,,,2
14,First Semester Second Language,,,,,,4,,,3
15,Illustration Studio I,ART,266,,,,3,,,3
16,200-level 3-D Studio Art,,,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,Tier I General Education,,,,,,3,,,3
19,Second Semester Second Language,,,,,,4,,,4
20,Design Studio I,ART,265,,,,3,,,4
21,200-level 3-D Studio Art,,,,,,3,,,4
22,Tier I General Education,,,,,,3,,,4
23,Tier I General Education,,,,,,3,,,4
24,200-level 2-D Studio Art,,,,,,3,,,5
25,Illustration Studio II,ART,366,,,,3,,,5
26,Figure Illustration I,ART,368,,,,3,,,5
27,Tier I General Education,,,,,,3,,,5
28,Introduction to Modern Design History,ARH,370,,,,3,,,5
29,Figure Painting for Illustration,ART,462A,,,,3,,,6
30,300/400-level VisCom elective,,,,,,3,,,6
31,200-level 2-D or 3-D Studio Art,,,,,,3,,,6
32,Tier II General Education,,,,,,3,,,6
33,Art Elective,,,,,,2,,,6
34,Elective,,,,,,1,,,6
35,Illustration Studio III,ART,466,,,,3,,,7
36,300/400-level Art Elective,,,,,,3,,,7
37,300/400-level ARH,,,,,,3,,,7
38,300/400-level Art Elective,,,,,,3,,,7
39,Tier II General Education,,,,,,3,,,7
40,Portfolio Preparation,ART,469,,,,3,,,8
41,300/400 VisCom elective,,,,,,3,,,8
42,400-level ARH,,,,,,3,,,8
43,300/400-level Art Elective,,,,,,3,,,8
44,Tier II General Education,,,,,,3,,,8
