Curriculum,Studio Art Photography Video and Imaging Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BFA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50-0699,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Gaze,ART,100C,,,,2,,,1
3,Contemporary Art & Theory,ART,119,,,,3,,,1
4,Survey of Western Art I,ARH,201,,,,3,,,1
5,First Year Composition,ENGL,101,,,,3,,,1
6,Tier I General Education,,,,,,3,,,1
7,Mapping,ART,100A,,,,2,,,2
8,Mapping,ART,100A,,,,2,,,2
9,Gaze,ART,100C,,,,2,,,2
10,Gaze,ART,100C,,,,2,,,2
11,Survey of Western Art II,ARH,202,,,,3,,,2
12,First Year Composition,ENGL,102,,,,3,,,2
13,Math,,,,,,3,,,2
14,First Semester Second Language,,,,,,4,,,3
15,Beginning B&W Darkroom Photography,ART,241,,,,3,,,3
16,200-level 3-D Studio Art3-D Studies,,,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,Tier I General Education,,,,,,3,,,3
19,Second Semester Second Language,,,,,,4,,,4
20,Beginning Digital Photography,ART,244,,,,3,,,4
21,3-D Studies,,,,,,3,,,4
22,Tier I General Education,,,,,,3,,,4
23,Tier I General Education,,,,,,3,,,4
24,200-level 2-D Studio Art,,,,,,3,,,5
25,Upper Division Photography,,,,,,3,,,5
26,300-level ARH Course,,,,,,3,,,5
27,Tier I General Education,,,,,,3,,,5
28,Upper Division Photography,,,,,,3,,,5
29,Upper Division Photography,,,,,,3,,,6
30,Upper Division Photography,,,,,,3,,,6
31,200-level 2D or 3D Studio Art,,,,,,3,,,6
32,Tier II General Education,,,,,,3,,,6
33,Art Elective,,,,,,2,,,6
34,Elective,,,,,,1,,,6
35,Upper Division Photography,,,,,,3,,,7
36,Upper Division Photography,,,,,,3,,,7
37,300/400-level ARH Course,,,,,,3,,,7
38,300/400-level Art Elective,,,,,,3,,,7
39,Tier II General Education,,,,,,3,,,7
40,400 level Photography,,,,,,3,,,8
41,Advanced Photography,ART,441,,,,3,,,8
42,400-level ARH or Photography,,,,,,3,,,8
43,300/400-level Art Elective,,,,,,3,,,8
44,Tier II General Education,,,,,,3,,,8
