Curriculum,Studio Art
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Mapping,ART,100A,,,,2,,,1
2,Experience,ART,100B,,,,2,,,1
3,Surface,ART,100E,,,,2,,,1
4,ART Foundation Course,ART,,,,,2,,,1
5,Pre-Historic to Gothic Art History,ARH,201,,,,3,,,1
6,First Year Composition,ENGL,101,,,,3,,,1
7,Tier I General Education,,,,,,3,,,1
8,ART Foundation Course,ART,,,,,2,,,2
9,ART Foundation Course,ART,,,,,2,,,2
10,Renaissance to Modern Art History,ARH,202,,,,3,,,2
11,First Year Composition,ENGL,102,,,,3,,,2
12,Contemporary Art and Theory,ART,119,,,,3,,,2
13,MATH,,,,,,3,,,2
14,Lower Division Studio Art Course,,,,,,3,,,3
15,Non-Studio Based Art Course,,,,,,3,,,3
16,Minor,,,,,,3,,,3
17,Second Language,,,,,,4,,,3
18,Tier I General Education,,,,,,3,,,3
19,Upper Division Studio Art Course,,,,,,3,,,4
20,Non-Studio Based Art Course,,,,,,3,,,4
21,Minor,,,,,,3,,,4
22,Second Language,,,,,,4,,,4
23,Tier I General Education,,,,,,3,,,4
24,Upper Division Studio Art Course,,,,,,3,,,5
25,Non-Studio Based Art Course,,,,,,3,,,5
26,Minor,,,,,,3,,,5
27,Second Language,,,,,,4,,,5
28,Tier I General Education,,,,,,3,,,5
29,Upper Division Studio Art Course,,,,,,3,,,6
30,Writing Emphasis Course,,,,,,3,,,6
31,Minor,,,,,,3,,,6
32,Second Language,,,,,,4,,,6
33,Tier I General Education,,,,,,3,,,6
34,Upper Division Studio Art Course,,,,,,3,,,7
35,Career Development,ART,496A,,,,3,,,7
36,Tier I General Education,,,,,,3,,,7
37,Tier II General Education,,,,,,3,,,7
38,Minor,,,,,,3,,,7
39,Upper Division Studio Art Course,,,,,,3,,,8
40,Upper Division Studio Art Course,,,,,,3,,,8
41,Minor,,,,,,3,,,8
42,Tier II General Education,,,,,,3,,,8
43,Tier II General Education,,,,,,3,,,8
