Curriculum,Theatre Production Professional Actors Training Program Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Stagecraft,TAR,111,,,,3,,,1
2,Stagecraft Crew,TAR,113,,,,1,,,1
3,Principles of Dramatic Structure,TAR,145,,,,3,,,1
4,Acting I,TAR,149,,,,3,,,1
5,Intro to Voice & Movement I,TAR,197A,,,,1,,,1
6,Performance,TAR,497F,,,,1,,,1
7,,ENGL,101,,,,3,,,1
8,Math,,,,,,3,,,1
9,Costume Construction,TAR,116,,,,3,,,2
10,Costume Crew,TAR,118,,,,1,,,2
11,Acting II,TAR,151,,,,3,,,2
12,Intro to Voice & Movement II,TAR,197B,,,,1,,,2
13,Performance,TAR,497F,,,,1,,,2
14,,ENGL,102,,,,3,,,2
15,Tier I General Education,,,,,,3,,,2
16,Voice & Movement I,TAR,203,,,,2,,,3
17,Acting III,TAR,250,,,,3,,,3
18,Stage Management,TAR,430,,,,3,,,3
19,Performance,TAR,497F,,,,1,,,3
20,Dance,,,,,,1,,,3
21,Tier I General Education,,,,,,3,,,3
22,Tier I General Education,,,,,,3,,,3
23,Voice & Movement II,TAR,204,,,,2,,,4
24,Acting IV,TAR,251,,,,3,,,4
25,Performance,TAR,497F,,,,1,,,4
26,Dramatic Literature,,,,,,3,,,4
27,Dance,,,,,,1,,,4
28,Tier I General Education,,,,,,3,,,4
29,Tier I General Education,,,,,,3,,,4
30,Voice & Movement III,TAR,305,,,,2,,,5
31,Theatre History I,TAR,340,,,,3,,,5
32,Combat for the Stage,TAR,402A,,,,2,,,5
33,Acting V,TAR,449,,,,3,,,5
34,Performance,TAR,497F,,,,1,,,5
35,Music,,,,,,2,,,5
36,Tier I General Education,,,,,,3,,,5
37,Voice & Movement IV,TAR,306,,,,2,,,6
38,Theatre History II,TAR,341,,,,3,,,6
39,Acting VI,TAR,451,,,,3,,,6
40,Performance,TAR,497F,,,,1,,,6
41,Theatre Elective,,,,,,3,,,6
42,Tier II General Education,,,,,,3,,,6
43,Acting VII,TAR,452,,,,3,,,7
44,Performance,TAR,497F,,,,1,,,7
45,Dramatic Literature,,,,,,3,,,7
46,Tier II General Education,,,,,,3,,,7
47,Tier II General Education,,,,,,3,,,7
48,Second Language,,,,,,4,,,7
49,Survey of Directing,TAR,400,,,,3,,,8
50,Screen Acting Techniques,TAR,475,,,,3,,,8
51,Performance,TAR,497F,,,,1,,,8
52,Second Language,,,,,,4,,,8
53,General Elective,,,,,,1,,,8
