Curriculum,Africana Studies,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Second Language,,,,,,4,,,1
3,Math,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Second Language,,,,,,4,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,General Elective,,,,,,3,,,2
10,Second Language,,,,,,4,,,3
11,Intro to Africana Studies,AFAS,200,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,General Elective,,,,,,2,,,3
15,Second Language,,,,,,4,,,4
16,African American History,AFAS,209,,,,3,,,4
17,Intro to African American Studies,AFAS,220,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Minor,,,,,,3,,,4
20,Africana Studies Research Approaches,AFAS,302,,,,3,,,5
21,Tier II General Education,,,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,Minor,,,,,,3,,,5
24,Upper Division Gerneral Elective,,,,,,3,,,5
25,Upper Division AFAS Elective,,,,,,3,,,6
26,Upper Division AFAS Elective,,,,,,3,,,6
27,Minor,,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,Upper Division Gerneral Elective,,,,,,3,,,6
30,Upper Division AFAS Elective,,,,,,3,,,7
31,Upper Division AFAS Elective,,,,,,3,,,7
32,Upper Division Minor Course,,,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Upper Division Gerneral Elective,,,,,,3,,,7
35,Capstone,AFAS,498,,,,3,,,8
36,AFAS Elective,,,,,,3,,,8
37,Upper Division Minor Course,,,,,,3,,,8
38,Upper Division Gerneral Elective,,,,,,3,,,8
39,Upper Division Gerneral Elective,,,,,,3,,,8
