Curriculum,Applied Humanities Public Health Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,First Semester Second Language,,,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,General Elective,,,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Second Semester Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Introduction to Applied Humanities,PAH,200,,,,3,,,2
11,Major Core Foundation Course,,,,,,3,,,3
12,Personal Health and Wellness,HPS,178,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Third Semester Second Language,,,,,,4,,,3
16,Intercultural Competence,PAH,372,,,,3,,,4
17,Introduction to Public Health,HPS,200,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Fourth Semester Second Language,,,,,,4,,,4
21,Humanities & the Global Creative Economy,PAH,456,,,,3,,,5
22,Introduction to Epidemiology,EPID,309,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Tier II General Education,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Applied Humanities Internship,,,,,,3,,,6
27,or HPS 322 or HPS 330 or HPS 350 or HPS 381 or PHPM 310 or EHS 457,HPS,306,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Applied Humanities Elective,,,,,,3,,,7
32,or HPS 322 or HPS 330 or HPS 350 or HPS 381 or PHPM 310 or EHS 457,HPS,306,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Upper Division Minor Course,,,,,,3,,,7
35,General Elective,,,,,,2,,,7
36,Senior Capstone,PAH,498,,,,3,,,8
37,or HPS 322 or HPS 330 or HPS 350 or HPS 381 or PHPM 310 or EHS 457,HPS,306,,,,3,,,8
38,Upper Division Minor Course,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
