Curriculum,French French and Francophone Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Elementary French I,FREN,101,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,General Elective,,,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Elementary French II,FREN,102,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,General Elective,,,,,,3,,,2
11,Intermediate French I,FREN,201,,,,4,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,General Elective,,,,,,3,,,3
16,Intermediate French II,FREN,202-,,,,4,,,4
17,Images of Africa,FREN,249,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Pronunciation and Conversation,FREN,301,,,,3,,,5
21,African Literature in Translation,FREN,245,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,General Elective,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,"Grammar, Usage and Composition",FREN,302,,,,3,,,6
26,"Intro to French Language, Linguistics and Culture",FREN,280,,,,3,,,6
27,Minor Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,General Elective,,,,,,3,,,6
30,Upper Division Major Elective,,,,,,3,,,7
31,Upper Division Major Elective,,,,,,3,,,7
32,Minor Course,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,Upper Division Major Elective,,,,,,3,,,8
36,Upper Division Major Elective Course,,,,,,3,,,8
37,Upper Division Major Elective Course,,,,,,3,,,8
38,Minor Course,,,,,,3,,,8
39,General Elective,,,,,,2,,,8
