Curriculum,French Language Literature and Cultures Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0124,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,"Intermediate French I *if lower placement, may need to take summer coursework",FREN,201,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,General Elective,,,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Intermediate French II,FREN,202,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Pronuncation and Conversation,FREN,301,,,,3,,,3
12,"Grammar, Usage and Composition",FREN,302,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,General Elective,,,,,,3,,,3
16,Spoken French in Cultural Context,FREN,310,,,,3,,,4
17,Written French in Cultural Context,FREN,320,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,General Elective,,,,,,3,,,4
21,Film and Fiction,FREN,410,,,,3,,,5
22,Cultural History,FREN,420,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,General Elective,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Mastery Level French course,,,,,,3,,,6
27,Mastery Level French course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Mastery Level French course,,,,,,3,,,7
32,Upper Division Minor Course,,,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Upper Division Minor Course,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,Senior Capstone,FREN,498,,,,3,,,8
37,Upper Division French Elective,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
40,General Elective,,,,,,1,,,8
