Curriculum,German Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Beginning German I,GER,101,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Beginning German II,GER,102,,,,4,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,General Elective,,,,,,3,,,2
10,Intermediate German I,GER,201,,,,4,,,3
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,General Elective,,,,,,3,,,3
15,Intermediate German II,GER,202,,,,4,,,4
16,General Elective,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,General Elective,,,,,,3,,,4
20,Encounters in Language and Culture,GER,300,,,,6,,,5
21,Minor Course,,,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,General Elective,,,,,,3,,,5
24,Voices Past and Present,GER,301,,,,3,,,6
25,Minor Course,,,,,,3,,,6
26,Minor Course,,,,,,3,,,6
27,General Elective,,,,,,3,,,6
28,Upper Division General Elective,,,,,,3,,,6
29,Upper Division German Elective,,,,,,3,,,7
30,Upper Division German Elective,,,,,,3,,,7
31,Upper Division German Elective,,,,,,3,,,7
32,Upper Division Minor Course,,,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Senior Seminar: Culture,GER,496C,,,,3,,,8
35,Upper Division German Elective,,,,,,3,,,8
36,Upper Division German Elective,,,,,,3,,,8
37,Upper Division German Elective,,,,,,3,,,8
38,Upper Division Minor Course,,,,,,3,,,8
