Curriculum,Russian Language Focused Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0110,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Elementary Russian I,RSSS,101,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Elementary Russian II,RSSS,102,,,,4,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,General Elective,,,,,,3,,,2
10,Intermediate Russian I,RSSS,201,,,,4,,,3
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,General Elective,,,,,,3,,,3
15,Intermediate Russian II,RSSS,202,,,,4,,,4
16,"Accursed Questions: Russian Writers and Society, 1825-1904",RSSS,340,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Upper Divison General Elective,,,,,,2,,,4
20,Advanced Grammar and Composition,RSSS,301,,,,3,,,5
21,The Soviet Experiment,RSSS,350,,,,3,,,5
22,Tier II General Education,,,,,,3,,,5
23,General Elective,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Advnanced Grammar and Composition,RSSS,302,,,,3,,,6
26,Upper Division Major Elective Course,,,,,,3,,,6
27,Minor Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,General Elective,,,,,,3,,,6
30,Upper Division Major Elective,,,,,,3,,,7
31,Upper Division Major Elective,,,,,,3,,,7
32,Minor Course,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,Upper Division Major Elective Course,,,,,,1,,,8
36,Minor Course,,,,,,3,,,8
37,General Elective,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
40,General Elective,,,,,,2,,,8
