Curriculum,Spanish Translation and Interpretation Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Third Semester Spanish,SPAN,201,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Fourth Semester Spanish,SPAN,202,,,,4,,,2
8,MATH,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Intermediate Spanish,SPAN,251,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Elective,,,,,,3,,,3
16,Intermediate Grammar and Writing,SPAN,325,,,,3,,,4
17,Intermediate Conversation,SPAN,330,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Elective,,,,,,3,,,4
20,Elective,,,,,,3,,,4
21,Translation and Interpretation: Social Justice & Practice,SPAN,341,,,,3,,,5
22,Readings in the Literary Genres,SPAN,350,,,,3,,,5
23,Portuguese for Spanish Speakers,PORT,305A,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,Medical/Business Translatio,SPAN,381,,,,3,,,6
27,Legal/Business Translation,SPAN,382,,,,3,,,6
28,Intermediate Grammar and Conversation,PORT,325A,,,,3,,,6
29,Elective,,,,,,3,,,6
30,Minor,,,,,,3,,,6
31,Beginning Simultaneous Interpretation,SPAN,471,,,,3,,,7
32,Beginning Consecutive Interpretation,SPAN,472,,,,3,,,7
33,Elective,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,Span 481 Advanced Consecutive Interpretation,,,,,,3,,,8
37,Span 482 Advanced Simultaneous Interpretation,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Minor,,,,,,3,,,8
40,Minor,,,,,,3,,,8
