Curriculum,World Literature
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foundation Composition,ENGL,101,,,,3,,,1
2,First Semester Second Language course,,,,,,4,,,1
3,MATH - General Strand,MATH,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,Foundation Composition,ENGL,102,,,,3,,,2
7,Second Semester Second Language course,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Third Semester Second Language Course,,,,,,4,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Introduction to Literature,ENGL,280,,,,3,,,3
15,Fourth Semester Second Language Course,,,,,,4,,,4
16,Literary Analysis,ENGL,380,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,General Elective,,,,,,2,,,4
20,Fifth Semester Second Language Course (Upper Division),,,,,,3,,,5
21,Major Upper Division Literature Course,,,,,,3,,,5
22,Major Elective Course,,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Sixth Semester Second Language Course (Upper Division),,,,,,3,,,6
26,Major Upper Division Literature Course,,,,,,3,,,6
27,Major Upper Division Literature Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Upper Division General Electiv,,,,,,3,,,6
30,Major Upper Division Literature Course,,,,,,3,,,7
31,Major Elective Course,,,,,,3,,,7
32,Minor Upper Division Course,,,,,,3,,,7
33,Minor Upper Division Course,,,,,,3,,,7
34,Upper Division General Electiv,,,,,,3,,,7
35,Major Upper Division Literature Course,,,,,,3,,,8
36,Senior Capstone,,,,,,3,,,8
37,Minor Upper Division Course,,,,,,3,,,8
38,Upper Division General Electiv,,,,,,3,,,8
39,Upper Division General Electiv,,,,,,3,,,8
