Curriculum,American Indian Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH,,,,,,3,,,1
2,First Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Semester Second language,,,,,,4,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Semester Second Language,,,,,,4,,,2
11,Introduction to American Indian Studies,AIS,200,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Third Semester Second Language,,,,,,4,,,3
16,Contemporary American Indian Issues,AIS,220,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,AIS Core Course,AIS,,,,,3,,,4
19,AIS UD Core Course,AIS,,,,,3,,,4
20,Fourth Semester Second Language,,,,,,4,,,4
21,AIS UD Core Course,AIS,,,,,3,,,5
22,AIS UD Core Course,AIS,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,AIS Elective,AIS,,,,,3,,,5
26,AIS UD Elective  WEC,AIS,,,,,3,,,6
27,Minor Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,AIS Elective,AIS,,,,,3,,,6
30,AIS Elective,AIS,,,,,3,,,6
31,Producing and Assessing Soc. Research,AIS,448,,,,3,,,7
32,General Elective,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,Minor Course,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,,AIS,493,,,,3,,,8
37,General Elective,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
