Curriculum,Anthropology Archaeological Sciences Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,"Introductory Biology I, and Lab",MCB,181R,,,,5,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,,ANTH,197,,,,1,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Second Science Class and LAB,,,,,,4,,,2
10,Calculus (MATH 122B or above),,,,,,5,,,2
11,Principles of Archaeology (Core Course),ANTH,235,,,,3,,,3
12,ANTH Core Course I,ANTH,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Third Science Class,,,,,,4,,,3
15,Minor,,,,,,3,,,3
16,ANTH Core Course I,ANTH,,,,,3,,,4
17,ANTH Core Course II,ANTH,,,,,3,,,4
18,Statistics Course,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Minor,,,,,,3,,,4
21,ANTH Upper Division Elective,ANTH,,,,,3,,,5
22,ANTH Upper Division Elective,ANTH,,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,First Semester Second Language,,,,,,4,,,5
25,Minor,,,,,,3,,,5
26,ANTH Upper Division Elective,ANTH,,,,,3,,,6
27,ANTH Upper Division Elective,ANTH,,,,,3,,,6
28,Minor,,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Second Semester Second Language,,,,,,4,,,6
31,ANTH Upper Division Elective,ANTH,,,,,3,,,7
32,ANTH Upper Division Elective,ANTH,,,,,3,,,7
33,Archaeometry,ANTH,474,,,,3,,,7
34,Upper Division Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,8
36,General Elective,,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
