Curriculum,Anthropology Human Biology Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,"and 181L, Introductory Biology I",MCB,181R,,,,5,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,,ANTH,197,,,,1,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,"R and 182L, Introdutory Biology II",ECOL,182,,,,5,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Elements of Calculus,MATH,113,,,,3,,,2
11,Human Biology (Core Course),ANTH,265,,,,3,,,3
12,ANTH Core Course,ANTH,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,CHEM - General Chemistry I,CHEM,,,,,4,,,3
15,Minor,,,,,,4,,,3
16,ANTH Core Course I,ANTH,,,,,3,,,4
17,ANTH Course Course II,ANTH,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,CHEM - General Chemistry II,CHEM,,,,,4,,,4
20,Minor,,,,,,3,,,4
21,Upper Division ANTH,,,,,,3,,,5
22,Upper Division ANTH,,,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Statistics,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,Upper Division ANTH,,,,,,3,,,6
27,Upper Division ANTH,,,,,,3,,,6
28,Upper Division Minor,,,,,,3,,,6
29,Upper Division Minor,,,,,,3,,,6
30,Upper Division ANTH,,,,,,3,,,7
31,Upper Division Elective,,,,,,3,,,7
32,First Semester Second Language,,,,,,4,,,7
33,General Elective,,,,,,3,,,7
34,General Elective,,,,,,2,,,7
35,Upper Division ANTH,,,,,,3,,,8
36,Upper Division ANTH,,,,,,3,,,8
37,Second Semester Second Language,,,,,,4,,,8
38,Upper Division Minor,,,,,,3,,,8
