Curriculum,Anthropology
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,or PHIL 110,MATH,105,,,,3,,,1
2,,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,,ANTH,197,,,,1,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,ANTH Core I,ANTH,,,,,3,,,3
14,ANTH Core I,ANTH,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,ANTH Core I,ANTH,,,,,3,,,4
17,ANTH Core II,ANTH,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Second Language,,,,,,4,,,4
21,Tier II General Education,,,,,,3,,,5
22,ANTH Upper Division,ANTH,,,,,3,,,5
23,ANTH Upper Division,ANTH,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,General Elective,,,,,,3,,,5
26,ANTH Upper Division,ANTH,,,,,3,,,6
27,ANTH Upper Division,ANTH,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,General Elective,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,ANTH UD Writing Emphasis Course,ANTH,,,,,3,,,7
32,ANTH Upper Division,ANTH,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,Minor Course,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,ANTH Upper Division,ANTH,,,,,3,,,8
37,Minor Course,,,,,,3,,,8
38,Minor Course,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
40,General Elective,,,,,,1,,,8
