Curriculum,Care Health and Society
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,Year Composition,ENGL,102-First,,,,3,,,2
7,MATH,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,,CHS,204,,,,3,,,3
12,,SBS,200,,,,4,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Major-Core II,,,,,,3,,,4
17,,CHS,306,,,,3,,,4
18,,CHS,476,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Minor,,,,,,3,,,4
21,CHS-Core II,CHS,-Core,,,,3,,,5
22,Major-Career Track,,,,,,3,,,5
23,Major-Career Track,,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,,CHS,393,,,,3,,,6
27,Major-Career Track,,,,,,3,,,6
28,Minor,,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,Major-Career Track,,,,,,3,,,7
32,Minor,,,,,,3,,,7
33,Elective,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Major-Career Track,,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
