Curriculum,Communication
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101:,,,,3,,,1
2,Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Year Composition,ENGL,102:,,,,3,,,2
7,Intro to Study of Communication,COMM,101:,,,,3,,,2
8,or 109C or 112,MATH,107,,,,3,,,2
9,Second Language,,,,,,4,,,2
10,Tier I General Education,,,,,,3,,,2
11,Intro to Stats for Social Sciences OR MATH 263: Intro to Statistics and Biostastics,SBS,200:,,,,3,,,3
12,Intro to Communication Theory,COMM,300:,,,,3,,,3
13,Second Language,,,,,,4,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Research Methods,COMM,228:,,,,3,,,4
17,COMM Skills,COMM,,,,,3,,,4
18,Second Language,,,,,,4,,,4
19,Tier II General Education,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,COMM Theory,COMM,,,,,3,,,5
22,COMM Elective,COMM,,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Tier II General Education,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,COMM Theory,COMM,,,,,3,,,6
27,COMM Elective,COMM,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,COMM Theory,COMM,,,,,3,,,7
32,COMM Theory,COMM,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,COMM Theory,COMM,,,,,3,,,8
37,Minor Course,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
