Curriculum,Environmental Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Math General Strand,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Ideas and Institutions,EVS,260,,,,3,,,3
12,EVS Intro to Environmental  Social Science,EVS,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,EVS Environmental Science I,EVS,,,,,3,,,4
19,EVS Methods,EVS,,,,,3,,,4
20,Second Language,,,,,,4,,,4
21,EVS Environmental Social Science and Policy,EVS,,,,,3,,,5
22,EVS Methods,EVS,,,,,3,,,5
23,Elective,,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,EVS Environmental Social Science and Policy,EVS,,,,,3,,,6
27,EVS Environmental Social Science and Policy,EVS,,,,,3,,,6
28,Elective,,,,,,3,,,6
29,Elective,,,,,,3,,,6
30,Minor,,,,,,3,,,6
31,EVS Environmental Social Science and Policy,EVS,,,,,3,,,7
32,EVS Environmental Science II,EVS,,,,,3,,,7
33,EVS Engagement,EVS,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,EVS Capstone,EVS,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,2,,,8
