Curriculum,Food Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,,FOOD,101,,,,3,,,1
6,,ENGL,102,,,,3,,,2
7,Second Language,,,,,,4,,,2
8,Math,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,,FOOD,102,,,,3,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Second Language,,,,,,4,,,3
15,Community Nutrition & Food Security,FOOD,3XX,,,,3,,,3
16,Second Language,,,,,,4,,,4
17,"Food Justice, Ethics, & Activism",FOOD,300,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,Tier II General Education,,,,,,3,,,5
22,Methods,,,,,,3,,,5
23,Gastronomy Elective,,,,,,3,,,5
24,Local Food Systems Elective,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Sustenance Health Elective,,,,,,3,,,6
27,,ENGL,307,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Gastronomy Elective,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Local Food Systems Elective,,,,,,3,,,7
32,Minor Course,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,Upper Division General Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,Capstone,FOOD,498,,,,3,,,8
37,Minor Course,,,,,,3,,,8
38,Upper Division General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
