Curriculum,Gender & Women's Studies Queer Trans and Sexuality Studies Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First- Year Composition,ENGL,101,,,,3,,,1
2,Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Year Composition,ENGL,102-,,,,3,,,2
7,Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Gender in a Transnational World,GWS,240,,,,3,,,3
12,Second Language,,,,,,4,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Math:  General Strand,,,,,,3,,,3
16,Feminist Theories,GWS,305,,,,3,,,4
17,Second Language,,,,,,4,,,4
18,Tier II General Education,,,,,,3,,,4
19,GWS Concentration Core,GWS,,,,,3,,,4
20,Minor,,,,,,3,,,4
21,GWS Core Elective,GWS,,,,,3,,,5
22,GWS Elective,GWS,,,,,3,,,5
23,GWS QTSS,GWS,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,GWS Core Elective,GWS,,,,,3,,,6
27,GWS QTSS,GWS,,,,,3,,,6
28,Minor,,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,Capstone (Fall only),GWS,498,,,,3,,,7
32,GWS QTSS,GWS,,,,,3,,,7
33,GWS Upper Division Elective,GWS,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,GWS Upper Division Elective,GWS,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,2,,,8
