Curriculum,Gender & Women's Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First-Semester Second Langage,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second-Semester Second Langage,,,,,,4,,,2
11,,GWS,240,,,,3,,,3
12,Math,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Third-Semester Second Langage,,,,,,4,,,3
16,,GWS,305,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Minor,,,,,,3,,,4
19,Elective,,,,,,3,,,4
20,Fourth-Semester Second Langage,,,,,,4,,,4
21,or 260,GWS,202,,,,3,,,5
22,GWS Core Elective,GWS,,,,,3,,,5
23,GWS Upper Division Elective,GWS,,,,,3,,,5
24,Elective,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,GWS Core Elective,GWS,,,,,3,,,6
27,GWS QTSS Elective,GWS,,,,,3,,,6
28,GWS QTSS Elective,GWS,,,,,3,,,6
29,Elective,,,,,,3,,,6
30,Minor,,,,,,3,,,6
31,GWS QTSS Elective,GWS,,,,,3,,,7
32,,GWS,498,,,,3,,,7
33,Elective,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Minor,,,,,,3,,,7
36,GWS Upper Division Elective,GWS,,,,,3,,,8
37,GWS Upper Division Elective,GWS,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Minor,,,,,,2,,,8
40,Elective,,,,,,0,,,8
