Curriculum,Geography Geographic Information Science Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH,,,,,,3,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Major Foundation Math: GEOG 222 or SBS 200,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Introduction to Human Geography,,,,,,3,,,3
12,Our Changing Climate,GEOG,230,,,,3,,,3
13,Major Foundation (Consult Advisor),,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Our Dynamic Biosphere,GEOG,220,,,,3,,,4
17,Geographic Info Systems,GEOG,417,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Tier II General Education,,,,,,3,,,4
20,Tier II General Education,,,,,,3,,,4
21,Major Methods,,,,,,3,,,5
22,Major Methods,,,,,,3,,,5
23,Intro to Remote Sensing,GEOG,330,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,GIS  Coursework,,,,,,3,,,6
27,GIS  Coursework,,,,,,3,,,6
28,Minor,,,,,,3,,,6
29,Elective,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,GIS  Coursework,,,,,,3,,,7
32,GIS Coursework,,,,,,3,,,7
33,Minor,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Major Elective,,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,Minor,,,,,,3,,,8
39,Elective,,,,,,3,,,8
40,Elective,,,,,,1,,,8
