Curriculum,Geography Physical Geography Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH,,,,,,3,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Major Foundation Math,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Major Introduction to Human Geography,,,,,,3,,,3
12,Our Changing Climate,GEOG,230:,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,GEOG Foundation Course (Consult Advisor),GEOG,,,,,3,,,4
17,Our Dynamic Biosphere,GEOG,220,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Minor,,,,,,3,,,4
20,Elective,,,,,,3,,,4
21,Geographic Info Systems,GEOG,417,,,,3,,,5
22,Major Methods,,,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,Field Studies,GEOG,303,,,,3,,,6
27,Major Methods,,,,,,3,,,6
28,Major Physical Geography Coursework,,,,,,3,,,6
29,Minor,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,Major Physical Geography Coursework,,,,,,3,,,7
32,Major PHG Coursework,,,,,,3,,,7
33,Minor,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Major Physical Geography Coursework,,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
40,Elective,,,,,,1,,,8
