Curriculum,Information Science & eSociety
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Math,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Introductory Major Course,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Introductory Major Course,,,,,,3,,,3
15,Second Language,,,,,,4,,,3
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Introductory Major Course,,,,,,3,,,4
19,Core Major Course,,,,,,3,,,4
20,Second Language,,,,,,3,,,4
21,Core Major Course,,,,,,3,,,5
22,Core Major Course,,,,,,3,,,5
23,Core Major Course,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Core Major Course,,,,,,3,,,6
27,Research Methods and Data Analysis I,,,,,,3,,,6
28,Additional Major Elective,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,Minor Course,,,,,,3,,,6
31,Research Methods and Data Analysis II,,,,,,3,,,7
32,Minor Course,,,,,,3,,,7
33,Upper Division Elective,,,,,,3,,,7
34,Upper Division Elective,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,,ESOC,480,,,,3,,,8
37,Minor Course,,,,,,3,,,8
38,Upper Division Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
