Curriculum,Information Science and Technology
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,Math,,,,,,3,,,1
6,,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier II General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Great Idea of the Information Age,ISTA,100:,,,,3,,,3
15,Statistical Foundations,ISTA,116:,,,,3,,,3
16,Tier II General Education,,,,,,3,,,4
17,Computational Thinking,ISTA,130:,,,,4,,,4
18,Ethics,ISTA,161:,,,,3,,,4
19,Society,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,Research Methods and Data Analysis,,,,,,3,,,5
22,Dealing with Data,ISTA,131,,,,4,,,5
23,Intensive Computing,,,,,,3,,,5
24,Computantial Arts and Media,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Intensive Computing,,,,,,3,,,6
27,Intensive Computing,,,,,,3,,,6
28,Intensive Computing,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,Minor Course,,,,,,3,,,6
31,Intensive Computing,,,,,,3,,,7
32,"Independent Study, Directed Research, or Internship",,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,Upper Division Elective,,,,,,3,,,7
35,Upper Division Elective,,,,,,3,,,7
36,Senior Capstone,ISTA,498,,,,3,,,8
37,Minor Course,,,,,,3,,,8
38,Upper Division Elective,,,,,,3,,,8
39,Upper Division Elective,,,,,,3,,,8
