Curriculum,Judaic Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,,JUS,103A,,,,5,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Tier I General Education,,,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,,JUS,103B,,,,5,,,2
10,Tier I General Education,,,,,,3,,,3
11,Tier I General Education,,,,,,3,,,3
12,Jewish Civilization: A Gateway Course,JUS,301,,,,3,,,3
13,,JUS,203A,,,,5,,,3
14,Tier II General Education,,,,,,3,,,4
15,Tier II General Education,,,,,,3,,,4
16,JUS Upper Division,JUS,,,,,3,,,4
17,JUS Upper Division,JUS,,,,,3,,,4
18,,JUS,203B,,,,5,,,4
19,Tier II General Education,,,,,,3,,,5
20,JUS Upper Division,JUS,,,,,3,,,5
21,JUS Upper Division,JUS,,,,,3,,,5
22,Minor,,,,,,3,,,5
23,General Elective,,,,,,3,,,5
24,JUS Upper Division,JUS,,,,,3,,,6
25,JUS Upper Division,JUS,,,,,3,,,6
26,Minor,,,,,,3,,,6
27,General Elective,,,,,,3,,,6
28,General Elective,,,,,,3,,,6
29,General Elective,,,,,,3,,,7
30,General Elective,,,,,,3,,,7
31,Minor,,,,,,3,,,7
32,Minor,,,,,,3,,,7
33,Minor,,,,,,3,,,7
34,General Elective,,,,,,3,,,8
35,General Elective,,,,,,3,,,8
36,General Elective,,,,,,3,,,8
37,General Elective,,,,,,1,,,8
38,Minor,,,,,,3,,,8
