Curriculum,Latin American Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,First Semester Second Language,,,,,,4,,,1
3,"Math (LING, MATH 105 or higher, PHIL 110)",,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102-,,,,3,,,2
7,Second Semester Second Language,,,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Third Semester Second Language,,,,,,4,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Fourth Semester Second Language,,,,,,4,,,4
17,LAS Contemporary Topics,LAS,,,,,3,,,4
18,LAS Contemporary Topics,LAS,,,,,3,,,4
19,LAS Elective,LAS,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,or higher or PORT 325A or higher,SPAN,251,,,,3,,,5
22,LAS Contemporary Topics,LAS,,,,,3,,,5
23,LAS Contemporary Topics,LAS,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,LAS Elective,LAS,,,,,3,,,6
27,LAS Elective,LAS,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,LAS Elective,LAS,,,,,3,,,7
32,Minor Course,,,,,,3,,,7
33,Elective,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Elective,,,,,,1,,,7
36,,LAS,498,,,,3,,,8
37,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
40,Elective,,,,,,1,,,8
