Curriculum,Mexican American Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Math,,,,,,3,,,2
8,Second Language,,,,,,4,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,"Culture, Community and Identity",MAS,265,,,,3,,,3
12,Second Language,,,,,,4,,,3
13,Tier I General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Tier II General Education,,,,,,3,,,4
17,Second Language,,,,,,4,,,4
18,MAS Elective,MAS,,,,,3,,,4
19,MAS Elective,MAS,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,Latin American Immigration and the Re-making of the U.S.,MAS,317,,,,3,,,5
22,MAS Elective,MAS,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,General Elective,,,,,,3,,,5
26,MAS Elective,MAS,,,,,3,,,6
27,MAS Elective,MAS,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,MAS Elective,MAS,,,,,3,,,7
32,MAS Elective,MAS,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,Senior Capstone,MAS,498,,,,3,,,8
37,General Elective,,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
