Curriculum,Middle Eastern and North African Studies
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101:,,,,3,,,1
2,First Semester ARB/JUS/PRS/TURK Course,,,,,,5,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102:,,,,3,,,2
7,MATH,,,,,,3,,,2
8,Second Semester ARB/JUS/PRS/TURK Course,,,,,,5,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Third Semester ARB/JUS/PRS/TURK Course,,,,,,5,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Fourth Semester ARB/JUS/PRS/TURK Course,,,,,,5,,,4
17,,MENA,277A,,,,3,,,4
18,,MENA,334,,,,3,,,4
19,Minor Course,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,,MENA,277B,,,,3,,,5
22,MENA Elective Course Upper-Div.,MENA,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Minor Course Upper-Division,,,,,,3,,,5
25,General Elective,,,,,,3,,,5
26,MENA Writing Emphasis Course Upper-Div.,MENA,,,,,3,,,6
27,MENA Additional Upper-Division Course,MENA,,,,,3,,,6
28,Minor Course Upper-Division,,,,,,3,,,6
29,Minor Course Upper-Division,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,MENA Additional Upper-Division Course,MENA,,,,,3,,,7
32,General Elective,,,,,,3,,,7
33,General Elective,,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,Capstone,MENA,498,,,,1,,,8
36,Upper-Division General Elective,,,,,,3,,,8
37,Upper-Division General Elective,,,,,,3,,,8
38,Upper-Division General Elective,,,,,,3,,,8
