Curriculum,Philosophy Ethics Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101:,,,,3,,,1
2,First Semester Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102:,,,,3,,,2
7,Math,,,,,,3,,,2
8,Second Semester Second Language,,,,,,4,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Third Semester Second Language,,,,,,4,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Fourth Semester Second Language,,,,,,4,,,4
17,PHIL Logic Course,PHIL,,,,,3,,,4
18,PHIL Metaphysics/Epistemology Course,PHIL,,,,,3,,,4
19,Minor Course,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,PHIL History Course,PHIL,,,,,3,,,5
22,PHIL Ethics Course,PHIL,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Minor Course Upper-Division,,,,,,3,,,5
25,General Elective,,,,,,3,,,5
26,PHIL Ethics Course,PHIL,,,,,3,,,6
27,PHIL Ethics Course,PHIL,,,,,3,,,6
28,Minor Course Upper-Division,,,,,,3,,,6
29,Minor Course Upper-Division,,,,,,3,,,6
30,Upper-Division General Elective,,,,,,3,,,6
31,PHIL Ethics Course,PHIL,,,,,3,,,7
32,PHIL Ethics Course,PHIL,,,,,3,,,7
33,PHIL Elective Course,PHIL,,,,,3,,,7
34,Upper-Division General Elective,,,,,,3,,,7
35,Upper-Division General Elective,,,,,,3,,,7
36,PHIL Elective Course,PHIL,,,,,3,,,8
37,PHIL Elective Course,PHIL,,,,,3,,,8
38,Upper-Division General Elective,,,,,,3,,,8
39,Upper-Division General Elective,,,,,,3,,,8
